分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,69725.54000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,47645.99
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,143241.47
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,60541.82
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,163510.08000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,61202.71
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,146213.74
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,70170.69
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1948.6142095716082
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,147502.52999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,67640.8
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,1670.0997083930251
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,147044.26
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,62805.13
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,1747.560216469918
E,空氣污染物申報,氮氧化物,,,2009,101.558
E,空氣污染物申報,硫氧化物,,,2009,79.481
E,空氣污染物申報,粒狀污染物,,,2009,9.184
E,空氣污染物申報,揮發性有機化合物,,,2009,31.757
E,空氣污染物申報,氮氧化物,,,2011,170.284
E,空氣污染物申報,硫氧化物,,,2011,188.60500000000002
E,空氣污染物申報,粒狀污染物,,,2011,33.295
E,空氣污染物申報,揮發性有機化合物,,,2011,43.667
E,空氣污染物申報,氮氧化物,,,2012,187.41299999999998
E,空氣污染物申報,硫氧化物,,,2012,266.108
E,空氣污染物申報,粒狀污染物,,,2012,45.596999999999994
E,空氣污染物申報,揮發性有機化合物,,,2012,36.188
E,空氣污染物申報,氮氧化物,,,2013,117.059
E,空氣污染物申報,硫氧化物,,,2013,189.233
E,空氣污染物申報,粒狀污染物,,,2013,58.701
E,空氣污染物申報,揮發性有機化合物,,,2013,29.979000000000003
E,空氣污染物申報,氮氧化物,,,2014,133.459
E,空氣污染物申報,硫氧化物,,,2014,128.208
E,空氣污染物申報,粒狀污染物,,,2014,40.084
E,空氣污染物申報,揮發性有機化合物,,,2014,38.073
E,空氣污染物申報,氮氧化物,,,2015,130.928
E,空氣污染物申報,硫氧化物,,,2015,94.676
E,空氣污染物申報,粒狀污染物,,,2015,47.82599999999999
E,空氣污染物申報,揮發性有機化合物,,,2015,29.494
E,空氣污染物申報,氮氧化物,,,2016,163.586
E,空氣污染物申報,硫氧化物,,,2016,140.65800000000002
E,空氣污染物申報,粒狀污染物,,,2016,20.42
E,空氣污染物申報,揮發性有機化合物,,,2016,31.558
E,空氣污染物申報,苯,,,2017,0.005
E,空氣污染物申報,四氯化碳,,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,,2017,0
E,空氣污染物申報,戴奧辛,,,2017,0
E,空氣污染物申報,乙苯,,,2017,0.005
E,空氣污染物申報,二氯甲烷,,,2017,0.045000000000000005
E,空氣污染物申報,氮氧化物,,,2017,178.95800000000003
E,空氣污染物申報,硫氧化物,,,2017,148.10000000000002
E,空氣污染物申報,苯乙烯,,,2017,0
E,空氣污染物申報,粒狀污染物,,,2017,26.759999999999998
E,空氣污染物申報,四氯乙烯,,,2017,0
E,空氣污染物申報,甲苯,,,2017,0.024000000000000004
E,空氣污染物申報,三氯乙烷,,,2017,0.075
E,空氣污染物申報,三氯乙烯,,,2017,0.005
E,空氣污染物申報,揮發性有機化合物,,,2017,39.869
E,空氣污染物申報,二甲苯,,,2017,0
E,空氣污染物申報,三氯甲烷,,,2017,0.05
E,空氣污染物申報,重金屬,,,2017,0
E,空氣污染物申報,苯,,,2018,0.002
E,空氣污染物申報,四氯化碳,,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,,2018,0
E,空氣污染物申報,戴奧辛,,,2018,0
E,空氣污染物申報,乙苯,,,2018,0.002
E,空氣污染物申報,二氯甲烷,,,2018,0.018
E,空氣污染物申報,氮氧化物,,,2018,61.896
E,空氣污染物申報,硫氧化物,,,2018,36.956
E,空氣污染物申報,苯乙烯,,,2018,0
E,空氣污染物申報,粒狀污染物,,,2018,5.092
E,空氣污染物申報,四氯乙烯,,,2018,0
E,空氣污染物申報,甲苯,,,2018,0.01
E,空氣污染物申報,三氯乙烷,,,2018,0.032
E,空氣污染物申報,三氯乙烯,,,2018,0.002
E,空氣污染物申報,揮發性有機化合物,,,2018,12.916
E,空氣污染物申報,二甲苯,,,2018,0
E,空氣污染物申報,三氯甲烷,,,2018,0.02
E,空氣污染物申報,重金屬,,,2018,0
E,空氣污染物申報,苯,,,2019,0.004
E,空氣污染物申報,四氯化碳,,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,,2019,0
E,空氣污染物申報,戴奧辛,,,2019,0
