分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,947
S,員工薪資,薪資中位數,,仟元,2020,823
G,資本額,資本額,,元,2020,660000000
G,資本額,資本額,,元,2019,660000000
G,營運狀況,營業收入,,仟元,2020,3117134
G,營運狀況,營業成本,,仟元,2020,2293085
G,營運狀況,營業費用,,仟元,2020,469640
G,營運狀況,淨利,,仟元,2020,213206
G,營運狀況,營業收入,,仟元,2019,4220757
G,營運狀況,營業成本,,仟元,2019,3237311
G,營運狀況,營業費用,,仟元,2019,650971
G,營運狀況,淨利,,仟元,2019,205681
G,營運狀況,營業收入,,仟元,2018,3847815
G,營運狀況,營業成本,,仟元,2018,3046072
G,營運狀況,營業費用,,仟元,2018,552961
G,營運狀況,淨利,,仟元,2018,189988
G,營運狀況,營業收入,,仟元,2017,2072668
G,營運狀況,營業成本,,仟元,2017,1578962
G,營運狀況,營業費用,,仟元,2017,315736
G,營運狀況,淨利,,仟元,2017,105684
