分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,10342.99
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,14131.1
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,10489.850000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,15004.8
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,8636.000000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,13009.08
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,3.673
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.423
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.504
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,12.501
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,4.49
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.892
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,16.259
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,5.598
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.756
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.017
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,9.621
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,3.2039999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,3.1199999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.019
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,10.566
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,3.208
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,3.391
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.02
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,4.104
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.359
