分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.044
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.0919999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.089
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.734
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.11699999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.497
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.111
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.6310000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.188
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.704
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.152
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.398
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,10.259
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.048
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.066
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.7
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2017,6000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,12000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,22000
E,環境違規,違反環境法規次數-misc,,次,2020,2
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,21850
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2023,60000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
G,資本額,資本額,,元,2020,584940000
G,資本額,資本額,,元,2019,584940000
G,營運狀況,營業收入,,仟元,2020,1456264
G,營運狀況,營業成本,,仟元,2020,1239844
G,營運狀況,營業費用,,仟元,2020,211523
G,營運狀況,淨利,,仟元,2020,-10874
G,營運狀況,營業收入,,仟元,2019,1726886
G,營運狀況,營業成本,,仟元,2019,1471112
G,營運狀況,營業費用,,仟元,2019,252847
G,營運狀況,淨利,,仟元,2019,40410
G,營運狀況,營業收入,,仟元,2018,1907449
G,營運狀況,營業成本,,仟元,2018,1590017
G,營運狀況,營業費用,,仟元,2018,248104
G,營運狀況,淨利,,仟元,2018,45024
G,營運狀況,營業收入,,仟元,2017,2199011
G,營運狀況,營業成本,,仟元,2017,1775589
G,營運狀況,營業費用,,仟元,2017,246058
G,營運狀況,淨利,,仟元,2017,104809
G,營運狀況,營業收入,,仟元,2016,1996085
G,營運狀況,營業成本,,仟元,2016,1489088
G,營運狀況,營業費用,,仟元,2016,225745
G,營運狀況,淨利,,仟元,2016,225082
