年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,134111.02,163.63,55048.95,137.2,79062.07,188.98,
2021,61478,75.01,35216.04,87.77,26261.96,62.77,
2020,66595.67,81.26,37781.67,94.17,28814,68.87,
2019,81958.52,100,40122.38,100,41836.14,100,
2018,93968.95,114.65,40083.93,99.9,53885.02,128.8,
2017,93215.89,113.74,38956.24,97.09,54259.65,129.7,
2016,93235.8,113.76,42618.12,106.22,50617.68,120.99,
2015,101205.65,123.48,50516.38,125.91,50689.27,121.16,
2014,103873.01,126.74,52426.55,130.67,51446.46,122.97,
2023,151495.19,184.84,60024.47,149.6,91470.71,218.64,T
2024,168879.35,206.05,65000,162,103879.36,248.3,T
2025,186263.52,227.27,69975.52,174.41,116288,277.96,T
2026,203647.69,248.48,74951.04,186.81,128696.64,307.62,T
2027,221031.85,269.69,79926.57,199.21,141105.29,337.28,T
2028,238416.02,290.9,84902.09,211.61,153513.93,366.94,T
2029,255800.19,312.11,89877.61,224.01,165922.57,396.6,T
2030,273184.35,333.32,94853.14,236.41,178331.22,426.26,T
2031,290568.52,354.53,99828.66,248.81,190739.86,455.92,T
2032,307952.69,375.74,104804.19,261.21,203148.5,485.58,T
2033,325336.85,396.95,109779.71,273.61,215557.14,515.24,T
2034,342721.02,418.16,114755.23,286.01,227965.79,544.9,T
2035,360105.19,439.37,119730.76,298.41,240374.43,574.56,T
2036,377489.35,460.59,124706.28,310.81,252783.07,604.22,T
2037,394873.52,481.8,129681.8,323.22,265191.72,633.88,T
2038,412257.69,503.01,134657.33,335.62,277600.36,663.54,T
2039,429641.85,524.22,139632.85,348.02,290009,693.2,T
2040,447026.02,545.43,144608.37,360.42,302417.65,722.86,T
2041,464410.19,566.64,149583.9,372.82,314826.29,752.52,T
2042,481794.35,587.85,154559.42,385.22,327234.93,782.18,T
2043,499178.52,609.06,159534.94,397.62,339643.58,811.84,T
2044,516562.69,630.27,164510.47,410.02,352052.22,841.5,T
2045,533946.85,651.48,169485.99,422.42,364460.86,871.16,T
2046,551331.02,672.7,174461.51,434.82,376869.51,900.82,T
2047,568715.19,693.91,179437.04,447.22,389278.15,930.48,T
2048,586099.35,715.12,184412.56,459.63,401686.79,960.14,T
2049,603483.52,736.33,189388.08,472.03,414095.44,989.8,T
2050,620867.69,757.54,194363.61,484.43,426504.08,1019.46,T
