分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,基準年為2020年，起始為2021年，目標年為2030年，預計10年減量25％。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.027
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,19.225
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.038
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,23.601000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.036000000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,22.138999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.28800000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,16.662
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.391
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,18.522
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.989
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,24.991
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.632
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,27.197000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.599
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,36.699
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.829
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,36.583
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.032
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.182
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.44499999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,45.391999999999996
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.214
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,47.565
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.01
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,58.943999999999996
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.006
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.275
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.048
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,60.134
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.007
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.187
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,60.961000000000006
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.005
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.10200000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,20.785000000000004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.036000000000000004
S,員工薪資,平均薪資,,仟元,2020,1021
S,員工薪資,薪資中位數,,仟元,2020,990
S,員工薪資,平均薪資,,仟元,2019,865
S,員工薪資,薪資中位數,,仟元,2019,830
S,員工薪資,平均薪資,,仟元,2018,842
G,資本額,資本額,,元,2020,6461654000
G,資本額,資本額,,元,2019,6461654000
G,營運狀況,營業收入,,仟元,2020,38512743
G,營運狀況,營業成本,,仟元,2020,32760832
G,營運狀況,營業費用,,仟元,2020,1644370
G,營運狀況,淨利,,仟元,2020,3665917
G,營運狀況,營業收入,,仟元,2019,31093989
G,營運狀況,營業成本,,仟元,2019,29467189
G,營運狀況,營業費用,,仟元,2019,1555485
G,營運狀況,淨利,,仟元,2019,308203
G,營運狀況,營業收入,,仟元,2018,28832551
G,營運狀況,營業成本,,仟元,2018,28483107
G,營運狀況,營業費用,,仟元,2018,1535223
G,營運狀況,淨利,,仟元,2018,-584333
G,營運狀況,營業收入,,仟元,2017,26623012
G,營運狀況,營業成本,,仟元,2017,26930047
G,營運狀況,營業費用,,仟元,2017,1500253
G,營運狀況,淨利,,仟元,2017,-1958113
G,營運狀況,營業收入,,仟元,2016,29170570
G,營運狀況,營業成本,,仟元,2016,29768636
G,營運狀況,營業費用,,仟元,2016,1746266
G,營運狀況,淨利,,仟元,2016,-693872
