分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.3059999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.766
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.366
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.385
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.3400000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.18
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.863
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.235
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,3.4290000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.724
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.193
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.742
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.7430000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.258
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.0889999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.84
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.007
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.324
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,3.363
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.788
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.34700000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.218
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.7649999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.314
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.4619999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.822
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.33799999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.6310000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.893
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.008
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.363
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.2380000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.86
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.007
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.357
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,2.838
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.504
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.199
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.7949999999999999
E,環境違規,違反環境法規金額-misc,,元,2010,10000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2014,112000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,110000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2016,22000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2021,12000
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2022,12000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工薪資,平均薪資,,仟元,2020,661
S,員工薪資,薪資中位數,,仟元,2020,569
S,員工薪資,平均薪資,,仟元,2019,592
S,員工薪資,薪資中位數,,仟元,2019,517
S,員工薪資,平均薪資,,仟元,2018,599
G,資本額,資本額,,元,2020,514850000
G,資本額,資本額,,元,2019,514850000
