分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,311199.89000000013
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,2098838.07
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,2410037.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,302293.78
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,2162833.3100000005
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,2465127.090000001
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,283570.4600000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,2186790.64
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,2470361.1
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,233420.53999999986
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,2304797.82
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,2538218.36
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,771.2862120389815
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,273682.4600000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,2419005.81
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,2692688.27
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,789.5792022424932
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,268883.2300000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,2444486.3299999996
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,2713369.5599999996
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,882.0111330271336
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,59977.63000000011
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,2289612.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,2349590.1999999997
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,874.1305079166619
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,57348.66000000006
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,2205452.83
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,2262801.49
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,835.1195985290287
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,58558.72999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,2177024.01
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,2235582.7399999998
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,48384.15810000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,1901619.5539
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,1950003.712
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,"友達在碳能源管理發展一向積極接軌國際，參與氣候倡議與相關目標如下：1.科學基礎減量目標(Science based target, SBT)：以2018年為基準，於2025年達成絕對減碳25%；2.全球再生能源倡議RE100：2050年達成100%使用再生能源；3.淨零Net Zero：2030年全球建物淨零，並朝2050年公司營運邊界淨零努力。"
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有淨零目標有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,25.529000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,5.525000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.6670000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1250.5860000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,31.390000000000008
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,6.704
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,9.272
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1155.7579999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,32.876999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,5.145999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,7.922
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,797.9090000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,21.009999999999994
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.058000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.8199999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,905.2169999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,17.796
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,5.411
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,8.55
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1135.1309999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,41.811
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,18.229
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,21.714
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1218.767
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,88.78999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,50.09600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,26.941999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1677.8630000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,94.28999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,47.508
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,44.513000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2044.6709999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,88.061
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,45.727
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,27.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1903.3369999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,99.16699999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,53.954
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,19.189
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,547.6560000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,98.294
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,53.092000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,13.886999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,520.6999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,91.79299999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,51.465999999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,13.057000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,537.254
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,96.89999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,50.14099999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,10.734000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,587.336
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,96.58399999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,44.760999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,10.931999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,414.46399999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,85.68200000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,22.044000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,4.925999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,230.36599999999999
E,環境違規,違反環境法規金額-misc,,元,2010,0
E,環境違規,違反環境法規次數-misc,,次,2010,0
