年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,26680814.96,96.95,26482721,97.16,198093.96,74.92,
2020,25633761.27,93.14,25329734.15,92.93,304027.12,114.98,
2019,27521239.37,100,27256819.57,100,264419.8,100,
2018,28430748.23,103.3,28070607.33,102.99,360140.9,136.2,
2017,27252562.15,99.02,26952534.95,98.88,300027.2,113.47,
2016,28291153.97,102.8,27910777.65,102.4,380376.32,143.85,
2015,29527294.52,107.29,29225268.76,107.22,302025.76,114.22,
2014,30094318.75,109.35,29766865.48,109.21,327453.27,123.84,
2013,30443533.59,110.62,30039637.15,110.21,403896.44,152.75,
2022,26097503.87,94.83,25953425.56,95.22,144078.31,54.49,T
2023,25514192.78,92.71,25424130.11,93.28,90062.67,34.06,T
2024,24930881.69,90.59,24894834.67,91.33,36047.02,13.63,T
2025,24347570.6,88.47,24365539.23,89.39,0,0,T
2026,23764259.51,86.35,23836243.78,87.45,0,0,T
2027,23180948.42,84.23,23306948.34,85.51,0,0,T
2028,22597637.33,82.11,22777652.9,83.57,0,0,T
2029,22014326.24,79.99,22248357.45,81.62,0,0,T
2030,21431015.15,77.87,21719062.01,79.68,0,0,T
2031,20847704.06,75.75,21189766.57,77.74,0,0,T
2032,20264392.97,73.63,20660471.12,75.8,0,0,T
2033,19681081.88,71.51,20131175.68,73.86,0,0,T
2034,19097770.79,69.39,19601880.24,71.92,0,0,T
2035,18514459.7,67.27,19072584.79,69.97,0,0,T
2036,17931148.61,65.15,18543289.35,68.03,0,0,T
2037,17347837.52,63.03,18013993.91,66.09,0,0,T
2038,16764526.43,60.91,17484698.46,64.15,0,0,T
2039,16181215.34,58.8,16955403.02,62.21,0,0,T
2040,15597904.25,56.68,16426107.58,60.26,0,0,T
2041,15014593.16,54.56,15896812.13,58.32,0,0,T
2042,14431282.07,52.44,15367516.69,56.38,0,0,T
2043,13847970.98,50.32,14838221.25,54.44,0,0,T
2044,13264659.89,48.2,14308925.8,52.5,0,0,T
2045,12681348.8,46.08,13779630.36,50.55,0,0,T
2046,12098037.71,43.96,13250334.92,48.61,0,0,T
2047,11514726.62,41.84,12721039.47,46.67,0,0,T
2048,10931415.53,39.72,12191744.03,44.73,0,0,T
2049,10348104.44,37.6,11662448.59,42.79,0,0,T
2050,9764793.35,35.48,11133153.14,40.85,0,0,T
