年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,32910.46,118.83,3146.8,125.07,29763.66,118.21,
2021,32105.55,115.92,3912.65,155.51,28192.9,111.97,
2020,29623.29,106.96,3912.66,155.51,25710.63,102.11,
2019,27695.56,100,2515.94,100,25179.62,100,
2018,29570.85,106.77,3353.97,133.31,26216.88,104.12,
2017,30769.19,111.1,3912.66,155.51,26856.53,106.66,
2023,34648.76,125.11,3357.09,133.43,31291.67,124.27,T
2024,36387.06,131.38,3567.38,141.79,32819.68,130.34,T
2025,38125.36,137.66,3777.67,150.15,34347.69,136.41,T
2026,39863.66,143.94,3987.96,158.51,35875.71,142.48,T
2027,41601.96,150.21,4198.24,166.87,37403.72,148.55,T
2028,43340.26,156.49,4408.53,175.22,38931.73,154.62,T
2029,45078.56,162.76,4618.82,183.58,40459.74,160.68,T
2030,46816.86,169.04,4829.11,191.94,41987.76,166.75,T
2031,48555.16,175.32,5039.4,200.3,43515.77,172.82,T
2032,50293.46,181.59,5249.68,208.66,45043.78,178.89,T
2033,52031.76,187.87,5459.97,217.02,46571.79,184.96,T
2034,53770.07,194.15,5670.26,225.37,48099.81,191.03,T
2035,55508.37,200.42,5880.55,233.73,49627.82,197.1,T
2036,57246.67,206.7,6090.84,242.09,51155.83,203.16,T
2037,58984.97,212.98,6301.12,250.45,52683.84,209.23,T
2038,60723.27,219.25,6511.41,258.81,54211.85,215.3,T
2039,62461.57,225.53,6721.7,267.16,55739.87,221.37,T
2040,64199.87,231.81,6931.99,275.52,57267.88,227.44,T
2041,65938.17,238.08,7142.28,283.88,58795.89,233.51,T
2042,67676.47,244.36,7352.56,292.24,60323.9,239.57,T
2043,69414.77,250.64,7562.85,300.6,61851.92,245.64,T
2044,71153.07,256.91,7773.14,308.96,63379.93,251.71,T
2045,72891.37,263.19,7983.43,317.31,64907.94,257.78,T
2046,74629.67,269.46,8193.72,325.67,66435.95,263.85,T
2047,76367.97,275.74,8404,334.03,67963.97,269.92,T
2048,78106.27,282.02,8614.29,342.39,69491.98,275.99,T
2049,79844.57,288.29,8824.58,350.75,71019.99,282.05,T
2050,81582.87,294.57,9034.87,359.11,72548,288.12,T
