分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,3912.66
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,26856.53
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,30769.19
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,3353.9699999999975
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,26216.88
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,29570.85
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,2515.9400000000023
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,25179.62
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,27695.56
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,3912.66
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,25710.63
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,29623.29
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,29.432000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,37.311
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,41.54600000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,36.331
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,46.21
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,6.803999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,18.334
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,15.046
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,37.058
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,36.06
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,29.688000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,25.68
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,350000
E,環境違規,違反環境法規次數-水,,次,2014,2
E,環境違規,違反環境法規金額-misc,,元,2019,10000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,100000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,773
S,員工薪資,薪資中位數,,仟元,2020,660
S,員工薪資,平均薪資,,仟元,2019,823
S,員工薪資,薪資中位數,,仟元,2019,680
S,員工薪資,平均薪資,,仟元,2018,766
G,資本額,資本額,,元,2020,1362616000
G,資本額,資本額,,元,2019,1362616000
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
