年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,252613.8,121.64,115112.53,122.43,137501.27,120.99,
2021,309357.06,148.96,134945.22,143.52,174411.84,153.46,
2020,214185.81,103.14,91556.05,97.38,122629.76,107.9,
2019,207674.68,100,94023.59,100,113651.09,100,
2018,273986.06,131.93,116242.08,123.63,157743.98,138.8,
2017,330527.14,159.16,148123.28,157.54,182403.86,160.49,
2016,307460.92,148.05,137582.55,146.33,169878.37,149.47,
2023,267593.51,128.85,122142.18,129.91,145451.33,127.98,T
2024,282573.21,136.07,129171.82,137.38,153401.39,134.98,T
2025,297552.92,143.28,136201.47,144.86,161351.45,141.97,T
2026,312532.62,150.49,143231.12,152.34,169301.51,148.97,T
2027,327512.33,157.7,150260.76,159.81,177251.57,155.96,T
2028,342492.04,164.92,157290.41,167.29,185201.63,162.96,T
2029,357471.74,172.13,164320.06,174.76,193151.69,169.95,T
2030,372451.45,179.34,171349.7,182.24,201101.75,176.95,T
2031,387431.16,186.56,178379.35,189.72,209051.81,183.94,T
2032,402410.86,193.77,185409,197.19,217001.87,190.94,T
2033,417390.57,200.98,192438.64,204.67,224951.93,197.93,T
2034,432370.28,208.2,199468.29,212.15,232901.99,204.93,T
2035,447349.98,215.41,206497.94,219.62,240852.05,211.92,T
2036,462329.69,222.62,213527.58,227.1,248802.11,218.92,T
2037,477309.39,229.84,220557.23,234.58,256752.17,225.91,T
2038,492289.1,237.05,227586.88,242.05,264702.22,232.91,T
2039,507268.81,244.26,234616.52,249.53,272652.28,239.9,T
2040,522248.51,251.47,241646.17,257.01,280602.34,246.9,T
2041,537228.22,258.69,248675.82,264.48,288552.4,253.89,T
2042,552207.93,265.9,255705.46,271.96,296502.46,260.89,T
2043,567187.63,273.11,262735.11,279.44,304452.52,267.88,T
2044,582167.34,280.33,269764.75,286.91,312402.58,274.88,T
2045,597147.04,287.54,276794.4,294.39,320352.64,281.87,T
2046,612126.75,294.75,283824.05,301.86,328302.7,288.87,T
2047,627106.46,301.97,290853.69,309.34,336252.76,295.86,T
2048,642086.16,309.18,297883.34,316.82,344202.82,302.86,T
2049,657065.87,316.39,304912.99,324.29,352152.88,309.85,T
2050,672045.58,323.6,311942.63,331.77,360102.94,316.85,T
