年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,1113108.33,82.7,157903.01,86.79,955205.32,82.06,
2021,1163252.22,86.42,189748.32,104.29,973503.9,83.63,
2020,1363934.11,101.33,185353.25,101.87,1178580.86,101.25,
2019,1345988.92,100,181943.16,100,1164045.76,100,
2018,1235680.41,91.8,144526.68,79.44,1091153.73,93.74,
2017,1193956.83,88.7,153214.1,84.21,1040742.73,89.41,
2016,1203733.66,89.43,127623.69,70.14,1076109.97,92.45,
2015,1032650.09,76.72,95542.65,52.51,937107.44,80.5,
2014,914017.76,67.91,81509.58,44.8,832508.18,71.52,
2013,869012.58,64.56,69596.56,38.25,799416.02,68.68,
2023,1035481.47,76.93,149889.62,82.38,885591.84,76.08,T
2024,957854.6,71.16,141876.24,77.98,815978.36,70.1,T
2025,880227.74,65.4,133862.86,73.57,746364.88,64.12,T
2026,802600.88,59.63,125849.47,69.17,676751.4,58.14,T
2027,724974.01,53.86,117836.09,64.77,607137.93,52.16,T
2028,647347.15,48.09,109822.7,60.36,537524.45,46.18,T
2029,569720.29,42.33,101809.32,55.96,467910.97,40.2,T
2030,492093.42,36.56,93795.94,51.55,398297.49,34.22,T
2031,414466.56,30.79,85782.55,47.15,328684.01,28.24,T
2032,336839.7,25.03,77769.17,42.74,259070.53,22.26,T
2033,259212.83,19.26,69755.78,38.34,189457.05,16.28,T
2034,181585.97,13.49,61742.4,33.93,119843.57,10.3,T
2035,103959.11,7.72,53729.02,29.53,50230.09,4.32,T
2036,26332.24,1.96,45715.63,25.13,0,0,T
2037,0,0,37702.25,20.72,0,0,T
2038,0,0,29688.86,16.32,0,0,T
2039,0,0,21675.48,11.91,0,0,T
2040,0,0,13662.1,7.51,0,0,T
2041,0,0,5648.71,3.1,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
