分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,46995.93000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,226952.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,273948.2
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,53002.40000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,249921
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,302923.4
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,71427.01999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,280606.2
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,352033.22
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,81860.63
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,344999.56
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,426860.19
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,101718.81
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,414254.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,515973.13
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,125912.94
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,451955.5
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,577868.44
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,98368.20999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,557951.6
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,656319.8099999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,118975.14999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,684379.2100000001
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,803354.3600000001
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,152353.36999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,850148.65
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,1002502.02
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,170304.6828
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,965648.7982
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,1135953.481
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.285
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.911
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,14.732999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.4789999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.8009999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,16.228
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.6880000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.05
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,16.512
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.525
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.25
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,13.809999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.125
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,14.725999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,3.284
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.617
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,14.303999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.606
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.954
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,15.350000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,7.058999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.488
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.023
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,17.325000000000003
