年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,4417.77,104.51,205.99,51.3,4211.78,110.09,
2019,4227.16,100,401.52,100,3825.64,100,
2018,4008.45,94.83,931.97,232.11,3076.48,80.42,
2017,3894.63,92.13,727.25,181.12,3167.38,82.79,
2021,4592.15,108.63,32.24,8.03,4559.91,119.19,T
2022,4766.53,112.76,0,0,4908.05,128.29,T
2023,4940.91,116.88,0,0,5256.18,137.39,T
2024,5115.29,121.01,0,0,5604.31,146.49,T
2025,5289.67,125.14,0,0,5952.45,155.59,T
2026,5464.05,129.26,0,0,6300.58,164.69,T
2027,5638.43,133.39,0,0,6648.71,173.79,T
2028,5812.81,137.51,0,0,6996.85,182.89,T
2029,5987.19,141.64,0,0,7344.98,191.99,T
2030,6161.57,145.76,0,0,7693.11,201.09,T
2031,6335.95,149.89,0,0,8041.25,210.19,T
2032,6510.33,154.01,0,0,8389.38,219.29,T
2033,6684.71,158.14,0,0,8737.51,228.39,T
2034,6859.09,162.26,0,0,9085.65,237.49,T
2035,7033.47,166.39,0,0,9433.78,246.59,T
2036,7207.85,170.51,0,0,9781.91,255.69,T
2037,7382.23,174.64,0,0,10130.05,264.79,T
2038,7556.61,178.76,0,0,10478.18,273.89,T
2039,7730.99,182.89,0,0,10826.31,282.99,T
2040,7905.37,187.01,0,0,11174.45,292.09,T
2041,8079.75,191.14,0,0,11522.58,301.19,T
2042,8254.13,195.26,0,0,11870.71,310.29,T
2043,8428.51,199.39,0,0,12218.85,319.39,T
2044,8602.89,203.51,0,0,12566.98,328.49,T
2045,8777.27,207.64,0,0,12915.11,337.59,T
2046,8951.65,211.77,0,0,13263.25,346.69,T
2047,9126.03,215.89,0,0,13611.38,355.79,T
2048,9300.41,220.02,0,0,13959.51,364.89,T
2049,9474.79,224.14,0,0,14307.65,373.99,T
2050,9649.17,228.27,0,0,14655.78,383.09,T
