分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.171
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.7969999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,8.136000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,13.325999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,10.933
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,4.793
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,11.502
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,7.696
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.277
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,0.258
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.265
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.833
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.617
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,7.227000000000001
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,0.465
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.52
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,1.153
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,1.514
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,11.575999999999999
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,0.478
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.54
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,1.3250000000000002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,2.941
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,10.689
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,0.11499999999999999
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.169
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.8999999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,1.637
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.299
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,0.020999999999999998
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.155
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.497
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.624
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,4.444
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2022,0.025
E,空氣污染物申報-有害空氣污染物,乙苯,,,2022,0.198
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.589
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.919
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.03
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2023,0.035
E,空氣污染物申報-有害空氣污染物,乙苯,,,2023,0.079
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.239
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.386
E,環境違規,違反環境法規金額-misc,,元,2010,0
E,環境違規,違反環境法規次數-misc,,次,2010,0
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,80000
E,環境違規,違反環境法規次數-水,,次,2010,1
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,80000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2014,306000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,10000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,66000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,60000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2021,100000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,934
S,員工薪資,薪資中位數,,仟元,2020,838
S,員工薪資,平均薪資,,仟元,2019,922
S,員工薪資,薪資中位數,,仟元,2019,831
S,員工薪資,平均薪資,,仟元,2018,888
G,資本額,資本額,,元,2020,56282930580
G,資本額,資本額,,元,2019,56282930580
G,營運狀況,營業收入,,仟元,2020,39137205
G,營運狀況,營業成本,,仟元,2020,26095054
G,營運狀況,營業費用,,仟元,2020,1235466
G,營運狀況,淨利,,仟元,2020,5843037
G,營運狀況,營業收入,,仟元,2019,47507390
G,營運狀況,營業成本,,仟元,2019,25762687
G,營運狀況,營業費用,,仟元,2019,1232750
G,營運狀況,淨利,,仟元,2019,8007033
