年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,665939.88,89.54,432205.01,89.52,233734.87,89.56,
2021,745291.97,100.21,483754.13,100.2,261537.84,100.22,
2020,661158.1,88.9,405309.37,83.95,255848.73,98.04,
2019,743751.13,100,482782.51,100,260968.62,100,
2018,651253.33,87.56,379414.16,78.59,271839.17,104.17,
2017,782205.64,105.17,499291.77,103.42,282913.87,108.41,
2016,673968.35,90.62,448748.49,92.95,225219.86,86.3,
2015,665607.74,89.49,447332.33,92.66,218275.41,83.64,
2014,714656.51,96.09,487410.07,100.96,227246.44,87.08,
2023,640002.8,86.05,415345.84,86.03,224656.96,86.09,T
2024,614065.72,82.56,398486.68,82.54,215579.04,82.61,T
2025,588128.64,79.08,381627.51,79.05,206501.12,79.13,T
2026,562191.55,75.59,364768.35,75.56,197423.21,75.65,T
2027,536254.47,72.1,347909.18,72.06,188345.29,72.17,T
2028,510317.39,68.61,331050.01,68.57,179267.38,68.69,T
2029,484380.31,65.13,314190.85,65.08,170189.46,65.21,T
2030,458443.22,61.64,297331.68,61.59,161111.54,61.74,T
2031,432506.14,58.15,280472.51,58.1,152033.63,58.26,T
2032,406569.06,54.66,263613.35,54.6,142955.71,54.78,T
2033,380631.98,51.18,246754.18,51.11,133877.8,51.3,T
2034,354694.9,47.69,229895.01,47.62,124799.88,47.82,T
2035,328757.81,44.2,213035.85,44.13,115721.96,44.34,T
2036,302820.73,40.72,196176.68,40.63,106644.05,40.86,T
2037,276883.65,37.23,179317.52,37.14,97566.13,37.39,T
2038,250946.57,33.74,162458.35,33.65,88488.22,33.91,T
2039,225009.48,30.25,145599.18,30.16,79410.3,30.43,T
2040,199072.4,26.77,128740.02,26.67,70332.38,26.95,T
2041,173135.32,23.28,111880.85,23.17,61254.47,23.47,T
2042,147198.24,19.79,95021.68,19.68,52176.55,19.99,T
2043,121261.15,16.3,78162.52,16.19,43098.64,16.51,T
2044,95324.07,12.82,61303.35,12.7,34020.72,13.04,T
2045,69386.99,9.33,44444.18,9.21,24942.8,9.56,T
2046,43449.91,5.84,27585.02,5.71,15864.89,6.08,T
2047,17512.82,2.35,10725.85,2.22,6786.97,2.6,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
