年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,65168.59,100.76,47460.66,103.27,17707.93,94.59,
2021,61748.5,95.47,43472.96,94.59,18275.54,97.62,
2020,63380.09,97.99,44750.67,97.37,18629.42,99.51,
2019,64679.1,100,45958.49,100,18720.61,100,
2018,65458.93,101.21,46732.72,101.68,18726.21,100.03,
2017,58212.43,90,39966.33,86.96,18246.1,97.47,
2016,56722.47,87.7,34024.35,74.03,22698.12,121.25,
2015,46904.79,72.52,33771.11,73.48,13133.68,70.16,
2023,65331.75,101.01,47961.38,104.36,17370.37,92.79,T
2024,65494.91,101.26,48462.1,105.45,17032.81,90.98,T
2025,65658.08,101.51,48962.82,106.54,16695.25,89.18,T
2026,65821.24,101.77,49463.54,107.63,16357.69,87.38,T
2027,65984.4,102.02,49964.27,108.72,16020.14,85.57,T
2028,66147.56,102.27,50464.99,109.81,15682.58,83.77,T
2029,66310.73,102.52,50965.71,110.9,15345.02,81.97,T
2030,66473.89,102.77,51466.43,111.98,15007.46,80.17,T
2031,66637.05,103.03,51967.15,113.07,14669.9,78.36,T
2032,66800.21,103.28,52467.88,114.16,14332.34,76.56,T
2033,66963.38,103.53,52968.6,115.25,13994.78,74.76,T
2034,67126.54,103.78,53469.32,116.34,13657.22,72.95,T
2035,67289.7,104.04,53970.04,117.43,13319.66,71.15,T
2036,67452.87,104.29,54470.76,118.52,12982.1,69.35,T
2037,67616.03,104.54,54971.49,119.61,12644.54,67.54,T
2038,67779.19,104.79,55472.21,120.7,12306.98,65.74,T
2039,67942.35,105.05,55972.93,121.79,11969.42,63.94,T
2040,68105.52,105.3,56473.65,122.88,11631.86,62.13,T
2041,68268.68,105.55,56974.37,123.97,11294.3,60.33,T
2042,68431.84,105.8,57475.1,125.06,10956.75,58.53,T
2043,68595,106.05,57975.82,126.15,10619.19,56.72,T
2044,68758.17,106.31,58476.54,127.24,10281.63,54.92,T
2045,68921.33,106.56,58977.26,128.33,9944.07,53.12,T
2046,69084.49,106.81,59477.98,129.42,9606.51,51.32,T
2047,69247.65,107.06,59978.71,130.51,9268.95,49.51,T
2048,69410.82,107.32,60479.43,131.6,8931.39,47.71,T
2049,69573.98,107.57,60980.15,132.69,8593.83,45.91,T
2050,69737.14,107.82,61480.87,133.77,8256.27,44.1,T
