年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,9375967.31,121.84,2149375.68,129.7,7226591.63,119.68,
2019,7695389.28,100,1657161.01,100,6038228.27,100,
2018,7722662.42,100.35,1705766.34,102.93,6016896.08,99.65,
2017,7548799.96,98.1,1638050.52,98.85,5910749.44,97.89,
2016,6281287.22,81.62,1621376.77,97.84,4659910.45,77.17,
2015,5534788.12,71.92,1396358.63,84.26,4138429.49,68.54,
2014,5177947.31,67.29,1274991.27,76.94,3902956.04,64.64,
2013,4270663.26,55.5,1112405.32,67.13,3158257.94,52.3,
2021,9985023.09,129.75,2319817.4,139.99,7665205.69,126.94,T
2022,10594078.88,137.67,2490259.12,150.27,8103819.76,134.21,T
2023,11203134.66,145.58,2660700.84,160.56,8542433.82,141.47,T
2024,11812190.44,153.5,2831142.56,170.84,8981047.88,148.74,T
2025,12421246.23,161.41,3001584.28,181.13,9419661.95,156,T
2026,13030302.01,169.33,3172026,191.41,9858276.01,163.26,T
2027,13639357.79,177.24,3342467.72,201.7,10296890.07,170.53,T
2028,14248413.58,185.16,3512909.44,211.98,10735504.14,177.79,T
2029,14857469.36,193.07,3683351.16,222.27,11174118.2,185.06,T
2030,15466525.14,200.98,3853792.88,232.55,11612732.26,192.32,T
2031,16075580.93,208.9,4024234.6,242.84,12051346.33,199.58,T
2032,16684636.71,216.81,4194676.32,253.12,12489960.39,206.85,T
2033,17293692.49,224.73,4365118.04,263.41,12928574.45,214.11,T
2034,17902748.28,232.64,4535559.76,273.69,13367188.52,221.38,T
2035,18511804.06,240.56,4706001.48,283.98,13805802.58,228.64,T
2036,19120859.84,248.47,4876443.2,294.26,14244416.64,235.9,T
2037,19729915.63,256.39,5046884.92,304.55,14683030.71,243.17,T
2038,20338971.41,264.3,5217326.64,314.84,15121644.77,250.43,T
2039,20948027.19,272.22,5387768.36,325.12,15560258.83,257.7,T
2040,21557082.98,280.13,5558210.08,335.41,15998872.9,264.96,T
2041,22166138.76,288.04,5728651.8,345.69,16437486.96,272.22,T
2042,22775194.54,295.96,5899093.52,355.98,16876101.02,279.49,T
2043,23384250.33,303.87,6069535.24,366.26,17314715.09,286.75,T
2044,23993306.11,311.79,6239976.96,376.55,17753329.15,294.02,T
2045,24602361.89,319.7,6410418.68,386.83,18191943.21,301.28,T
2046,25211417.68,327.62,6580860.4,397.12,18630557.28,308.54,T
2047,25820473.46,335.53,6751302.12,407.4,19069171.34,315.81,T
2048,26429529.24,343.45,6921743.84,417.69,19507785.4,323.07,T
2049,27038585.03,351.36,7092185.56,427.97,19946399.47,330.34,T
2050,27647640.81,359.28,7262627.28,438.26,20385013.53,337.6,T
