分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,81418300.51
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,36489.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,81454790.48
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,84594491.52
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,66598.44
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,84661089.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,85538813.17999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,65024.329999999994
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,85603837.50999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,90739572.13000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,126463.74
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,90866035.87
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,15950.454520982135
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,101737316.59000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,132932.12999999998
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,101870248.72000001
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,17972.760950853524
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,97836689.58000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,148833.16999999998
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,97985522.75000001
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,16676.672063388345
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,91074415.65999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,197175.59000000003
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,91271591.24999999
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,15337.020099699139
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,93053405.87000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,157009.88999999998
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,93210415.76000002
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,15415.646693516645
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,82972.59000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,50229.418
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,5564.492999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.1870000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,85720.451
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,52138.00300000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6354.321999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,24.076000000000008
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,47248.459999999985
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,28096.33900000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3535.7740000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,27.21999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,39213.192
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,20647.665000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2198.72
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,27.99600000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,40651.462
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,12431.916
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1784.7400000000007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,17.642000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,53091.095000000016
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,37529.354999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,3441.146000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,23.482
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,56120.58600000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,38592.76899999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,4189.927999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,18.494999999999987
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,62658.62999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,33813.015999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,4301.781999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,21.44900000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,64151.765999999974
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,42347.630000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,4413.71
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,21.29799999999999
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.7010000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.004
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,2.5780000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,59741.429000000026
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,29876.90300000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,4668.555999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,23.55900000000001
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.5970000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.03900000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,2.5240000000000005
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,4.734999999999999
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,3.569
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,38031.91299999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,18473.58700000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2511.283999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,21.895999999999994
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.18400000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.495
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,1.8980000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,6.686
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,5.021
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,30952.191000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,17307.536000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1381.9370000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,17.612000000000002
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.166
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,1.5150000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,1.6709999999999996
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,2.5719999999999987
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,22602.261000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,12675.258000000007
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,937.2020000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,10.69
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.07600000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.256
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,1.1219999999999999
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,1.0990000000000002
E,環境違規,違反環境法規金額-misc,,元,2010,546200
E,環境違規,違反環境法規次數-misc,,次,2010,7
E,環境違規,違反環境法規金額-空氣,,元,2010,100000
E,環境違規,違反環境法規次數-空氣,,次,2010,1
E,環境違規,違反環境法規金額-水,,元,2010,140000
E,環境違規,違反環境法規次數-水,,次,2010,1
E,環境違規,違反環境法規金額-misc,,元,2011,1143000
E,環境違規,違反環境法規次數-misc,,次,2011,13
E,環境違規,違反環境法規金額-空氣,,元,2011,100000
E,環境違規,違反環境法規次數-空氣,,次,2011,1
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,563400
E,環境違規,違反環境法規次數-misc,,次,2012,11
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,400000
E,環境違規,違反環境法規次數-水,,次,2012,2
E,環境違規,違反環境法規金額-misc,,元,2013,528000
E,環境違規,違反環境法規次數-misc,,次,2013,16
E,環境違規,違反環境法規金額-空氣,,元,2013,100000
E,環境違規,違反環境法規次數-空氣,,次,2013,1
E,環境違規,違反環境法規金額-水,,元,2013,140000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,3626200
E,環境違規,違反環境法規次數-misc,,次,2014,25
E,環境違規,違反環境法規金額-空氣,,元,2014,100000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,506000
E,環境違規,違反環境法規次數-misc,,次,2015,5
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,1159648
E,環境違規,違反環境法規次數-misc,,次,2016,5
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,60000
E,環境違規,違反環境法規次數-水,,次,2016,1
E,環境違規,違反環境法規金額-misc,,元,2017,2303600
E,環境違規,違反環境法規次數-misc,,次,2017,9
E,環境違規,違反環境法規金額-空氣,,元,2017,1100000
E,環境違規,違反環境法規次數-空氣,,次,2017,2
E,環境違規,違反環境法規金額-水,,元,2017,231000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2018,3831200
E,環境違規,違反環境法規次數-misc,,次,2018,17
E,環境違規,違反環境法規金額-空氣,,元,2018,1000000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,1012500
E,環境違規,違反環境法規次數-水,,次,2018,4
E,環境違規,違反環境法規金額-misc,,元,2019,19526000
E,環境違規,違反環境法規次數-misc,,次,2019,28
E,環境違規,違反環境法規金額-空氣,,元,2019,200000
E,環境違規,違反環境法規次數-空氣,,次,2019,2
E,環境違規,違反環境法規金額-水,,元,2019,106324000
E,環境違規,違反環境法規次數-水,,次,2019,12
E,環境違規,違反環境法規金額-misc,,元,2020,42660000
E,環境違規,違反環境法規次數-misc,,次,2020,11
E,環境違規,違反環境法規金額-空氣,,元,2020,450000
E,環境違規,違反環境法規次數-空氣,,次,2020,1
E,環境違規,違反環境法規金額-水,,元,2020,5431500
E,環境違規,違反環境法規次數-水,,次,2020,5
E,環境違規,違反環境法規金額-misc,,元,2021,23018000
E,環境違規,違反環境法規次數-misc,,次,2021,5
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
G,資本額,資本額,,元,2020,330000000000
G,資本額,資本額,,元,2019,330000000000
G,營運狀況,營業收入,,仟元,2020,604648106
G,營運狀況,營業成本,,仟元,2020,541695875
G,營運狀況,營業費用,,仟元,2020,13560725
G,營運狀況,淨利,,仟元,2020,23685958
G,營運狀況,營業收入,,仟元,2019,595106420
G,營運狀況,營業成本,,仟元,2019,576707306
G,營運狀況,營業費用,,仟元,2019,17595446
G,營運狀況,淨利,,仟元,2019,16746835
G,營運狀況,營業收入,,仟元,2018,587560410
G,營運狀況,營業成本,,仟元,2018,566396452
G,營運狀況,營業費用,,仟元,2018,15411579
G,營運狀況,淨利,,仟元,2018,28811802
G,營運狀況,營業收入,,仟元,2017,566803559
G,營運狀況,營業成本,,仟元,2017,522246003
G,營運狀況,營業費用,,仟元,2017,12726624
G,營運狀況,淨利,,仟元,2017,20714947
G,營運狀況,營業收入,,仟元,2016,569676781
G,營運狀況,營業成本,,仟元,2016,503921139
G,營運狀況,營業費用,,仟元,2016,12621894
G,營運狀況,淨利,,仟元,2016,43359703
