年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,55114.84,122.26,27552.46,142.29,27562.38,107.18,
2019,45078.83,100,19363.03,100,25715.8,100,
2018,73899.24,163.93,41232.31,212.94,32666.93,127.03,
2017,73146.75,162.26,39012.51,201.48,34134.24,132.74,
2021,49104.2,108.93,23732.44,122.57,25371.76,98.66,T
2022,43093.57,95.6,19912.43,102.84,23181.14,90.14,T
2023,37082.93,82.26,16092.41,83.11,20990.52,81.62,T
2024,31072.29,68.93,12272.39,63.38,18799.9,73.11,T
2025,25061.66,55.6,8452.38,43.65,16609.28,64.59,T
2026,19051.02,42.26,4632.36,23.92,14418.66,56.07,T
2027,13040.38,28.93,812.34,4.2,12228.04,47.55,T
2028,7029.75,15.59,0,0,10037.42,39.03,T
2029,1019.11,2.26,0,0,7846.8,30.51,T
2030,0,0,0,0,5656.18,21.99,T
2031,0,0,0,0,3465.56,13.48,T
2032,0,0,0,0,1274.94,4.96,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
