分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,本公司溫室氣體盤查基準年訂為2020年，制定每年節能應達1%以上與溫室氣體排放量目標以5年後達減碳3%以上。
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,4.109
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,6.952999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.359
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.065000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.211
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,12.094999999999999
S,員工薪資,平均薪資,,仟元,2020,585
S,員工薪資,薪資中位數,,仟元,2020,545
S,員工薪資,平均薪資,,仟元,2019,564
S,員工薪資,薪資中位數,,仟元,2019,521
S,員工薪資,平均薪資,,仟元,2018,445
G,資本額,資本額,,元,2020,820080000
G,資本額,資本額,,元,2019,820080000
G,營運狀況,營業收入,,仟元,2020,400282
G,營運狀況,營業成本,,仟元,2020,160327
G,營運狀況,營業費用,,仟元,2020,91790
G,營運狀況,淨利,,仟元,2020,214761
G,營運狀況,營業收入,,仟元,2019,322760
G,營運狀況,營業成本,,仟元,2019,367052
G,營運狀況,營業費用,,仟元,2019,117614
G,營運狀況,淨利,,仟元,2019,1075804
G,營運狀況,營業收入,,仟元,2018,355194
G,營運狀況,營業成本,,仟元,2018,271173
G,營運狀況,營業費用,,仟元,2018,108801
G,營運狀況,淨利,,仟元,2018,-41441
G,營運狀況,營業收入,,仟元,2017,389694
G,營運狀況,營業成本,,仟元,2017,296371
G,營運狀況,營業費用,,仟元,2017,104432
G,營運狀況,淨利,,仟元,2017,32410
G,營運狀況,營業收入,,仟元,2016,343496
G,營運狀況,營業成本,,仟元,2016,272544
G,營運狀況,營業費用,,仟元,2016,127306
G,營運狀況,淨利,,仟元,2016,-42391
