分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,51051
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,51051
E,能源使用狀況,總用電量,true,度（KWh）,2021,100297376
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,規劃中。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2021,NA
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,,2021,NA
E,廢棄物管理,有害事業廢棄物,true,,2021,NA
E,廢棄物管理,資源化再利用,true,,2021,NA
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.16900000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.611
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.8160000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.9670000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.08
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.296
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.942
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.975
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.0310000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.402
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.308
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.029
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.026
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.3090000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.0759999999999998
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.031
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.307
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,1.4500000000000002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.078
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.051
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.714
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.078
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.152
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.327
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.041999999999999996
E,環境違規,違反環境法規金額-misc,,元,2010,18000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,0
E,環境違規,違反環境法規次數-misc,,次,2011,0
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,330000
E,環境違規,違反環境法規次數-水,,次,2011,3
E,環境違規,違反環境法規金額-misc,,元,2012,120000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,0
E,環境違規,違反環境法規次數-misc,,次,2013,0
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,160000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2015,60000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,170000
E,環境違規,違反環境法規次數-水,,次,2016,1
E,環境違規,違反環境法規金額-misc,,元,2018,60000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2022,6000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工組成,正式員工,true,人,2021,2688
S,員工組成,性別比,true,人,2021,0.9911111111111112
S,員工組成,是否聘用移工,true,人,2021,NA
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,NA
S,員工薪資,平均薪資,,仟元,2020,847
S,員工薪資,薪資中位數,,仟元,2020,620
S,員工薪資,平均薪資,,仟元,2019,727
S,員工薪資,薪資中位數,,仟元,2019,554
S,員工薪資,平均薪資,,仟元,2018,715
S,職業健康,職災事故,true,,2021,0
S,職業健康,工安意外,true,,2021,否
G,資本額,資本額,,元,2020,1787082820
G,資本額,資本額,,元,2019,1787082820
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,是否產製CSR報告,是否編撰報告書,true,,2021,是
G,營運狀況,營業收入,,仟元,2020,10178002
G,營運狀況,營業成本,,仟元,2020,7282206
G,營運狀況,營業費用,,仟元,2020,890349
G,營運狀況,淨利,,仟元,2020,1450675
G,營運狀況,營業收入,,仟元,2019,7430654
G,營運狀況,營業成本,,仟元,2019,5830910
G,營運狀況,營業費用,,仟元,2019,687867
G,營運狀況,淨利,,仟元,2019,741956
G,營運狀況,營業收入,,仟元,2018,7413512
G,營運狀況,營業成本,,仟元,2018,5511828
G,營運狀況,營業費用,,仟元,2018,763123
G,營運狀況,淨利,,仟元,2018,1013603
G,營運狀況,營業收入,,仟元,2017,7745602
G,營運狀況,營業成本,,仟元,2017,5847890
G,營運狀況,營業費用,,仟元,2017,735896
G,營運狀況,淨利,,仟元,2017,973889
G,營運狀況,營業收入,,仟元,2016,8057845
G,營運狀況,營業成本,,仟元,2016,6062661
G,營運狀況,營業費用,,仟元,2016,761430
G,營運狀況,淨利,,仟元,2016,1025006
G,稅務透明度,營利事業所得稅稅額,true,元,2021,NA
G,稅務透明度,政府補助、補貼金額,true,元,2021,NA
G,稅務透明度,研發投入費用,true,元,2021,NA
G,ISO認證,ISO 9001,true,,2021,是
G,ISO認證,ISO 14001,true,,2021,是
G,ISO認證,ISO 45001,true,,2021,是
G,ISO認證,ISO 50001,true,,2021,否
