分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.066
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.26899999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.554
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.507
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.011
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.6100000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.027000000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.217
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.044
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.299
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.04
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,6.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.028999999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,10.19
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.083
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.083
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.5789999999999997
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.039999999999999994
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.039999999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.017
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.7219999999999995
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.08
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.08
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.028
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,7.36
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.128
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.128
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.031000000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,6.5889999999999995
E,空氣污染物申報-有害空氣污染物,乙苯,,,2022,0.032
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.129
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.032
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.025
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.5929999999999995
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.04
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2016,60000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2021,12000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
G,資本額,資本額,,元,2020,263516000
G,資本額,資本額,,元,2019,263516000
G,營運狀況,營業收入,,仟元,2020,179328
G,營運狀況,營業成本,,仟元,2020,176200
G,營運狀況,營業費用,,仟元,2020,42732
G,營運狀況,淨利,,仟元,2020,-50114
G,營運狀況,營業收入,,仟元,2019,150749
G,營運狀況,營業成本,,仟元,2019,164627
G,營運狀況,營業費用,,仟元,2019,60795
G,營運狀況,淨利,,仟元,2019,-92140
