分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,154.51000000000204
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,63362.52
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,63517.03
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,39893.39000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,40713.24
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,80606.63
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,2965.744785906292
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,33449.02999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,41972.26
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,75421.29
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,2652.7108045996415
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,51953.369999999995
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,43592.39
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,95545.76
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,2169.612899358193
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,36258.04
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,41705.51
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,77963.55
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,2526.036005066098
E,環境違規,違反環境法規金額-misc,,元,2011,200000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,100000
E,環境違規,違反環境法規次數-空氣,,次,2011,1
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2017,100000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,852
S,員工薪資,薪資中位數,,仟元,2020,724
S,員工薪資,平均薪資,,仟元,2019,809
S,員工薪資,薪資中位數,,仟元,2019,600
S,員工薪資,平均薪資,,仟元,2018,668
G,營運狀況,營業收入,,仟元,2020,3086399
G,營運狀況,營業成本,,仟元,2020,2375024
G,營運狀況,營業費用,,仟元,2020,292533
G,營運狀況,淨利,,仟元,2020,359746
G,營運狀況,營業收入,,仟元,2019,4403816
G,營運狀況,營業成本,,仟元,2019,2741916
G,營運狀況,營業費用,,仟元,2019,400960
G,營運狀況,淨利,,仟元,2019,984518
G,營運狀況,營業收入,,仟元,2018,2843178
G,營運狀況,營業成本,,仟元,2018,2363500
G,營運狀況,營業費用,,仟元,2018,308438
G,營運狀況,淨利,,仟元,2018,177650
G,營運狀況,營業收入,,仟元,2017,2717922
G,營運狀況,營業成本,,仟元,2017,2359147
G,營運狀況,營業費用,,仟元,2017,277755
G,營運狀況,淨利,,仟元,2017,141295
G,營運狀況,營業收入,,仟元,2016,2732534
G,營運狀況,營業成本,,仟元,2016,2879564
G,營運狀況,營業費用,,仟元,2016,193910
G,營運狀況,淨利,,仟元,2016,-494952
