分類,子分類,項目,來自公司報告,單位,年份,數值
G,資本額,資本額,,元,2020,276450290
G,資本額,資本額,,元,2019,276450290
G,營運狀況,營業收入,,仟元,2020,614767
G,營運狀況,營業成本,,仟元,2020,339786
G,營運狀況,營業費用,,仟元,2020,508876
G,營運狀況,淨利,,仟元,2020,-81648
G,營運狀況,營業收入,,仟元,2019,1052574
G,營運狀況,營業成本,,仟元,2019,553885
G,營運狀況,營業費用,,仟元,2019,592199
G,營運狀況,淨利,,仟元,2019,-121975
G,營運狀況,營業收入,,仟元,2018,1857485
G,營運狀況,營業成本,,仟元,2018,760700
G,營運狀況,營業費用,,仟元,2018,843074
G,營運狀況,淨利,,仟元,2018,116250
G,營運狀況,營業收入,,仟元,2017,1035229
G,營運狀況,營業成本,,仟元,2017,364115
G,營運狀況,營業費用,,仟元,2017,577417
G,營運狀況,淨利,,仟元,2017,37811
G,營運狀況,營業收入,,仟元,2016,740246
G,營運狀況,營業成本,,仟元,2016,250114
G,營運狀況,營業費用,,仟元,2016,425265
G,營運狀況,淨利,,仟元,2016,63203
