分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.063
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.097
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.7430000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.621
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.32599999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.51
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,14.620000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.1279999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.585
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.359
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,27.237
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,6.025
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.8579999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.9689999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,28.128999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,6.864999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.3579999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.9339999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,37.416
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,4.968
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,2.362
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.7770000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,40.64
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,7.263
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.081
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.8959999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,21.387
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,3.846
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.174
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.43200000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,15.635
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.8520000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.129
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.091
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,15.756000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,10.037
E,空氣污染物申報-有害空氣污染物,苯,,,2017,1.499
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,2.636
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.832
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.074
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.492
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,6.776
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,7.167999999999999
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.808
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,1.58
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.47
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.076
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.28
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,4.452
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,6.567
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.576
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,1.31
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.41500000000000004
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.095
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.387
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,7.269
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,11.041
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.954
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,2.91
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.7170000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.11599999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.498
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,8.918
