分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,626769.87
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,3574.74
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,630344.61
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,675380.92
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,3132.46
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,678513.38
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,669573.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,3687.87
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,673261.27
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,759232.68
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,2723.59
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,761956.27
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,769361.4600000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,3131.21
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,772492.67
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,731781.96
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,2974.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,734756.1
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,771431.9199999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,3170.05
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,774601.97
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,778113.1900000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,3105.73
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,781218.92
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,893187.51
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,2602.01
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,895789.52
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,933761.3770000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,1960.2
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,935721.577
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,267.775
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,24.583
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.025
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,282.98199999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,28.912000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.025
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,374.24899999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,39.692
