分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.447
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.7050000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.792
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.685
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.745
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.1139999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,10.036
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,6.9319999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.541
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.567
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,7.926
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,8.336
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.193
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.457
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,6.156
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,5.992
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.492
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,7.1129999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,7.584
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,2.622
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.8799999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,16.33
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,10.418
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.833
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,2.181
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,31.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,12.889000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.557
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.888
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,6.892999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,14.166
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.0939999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.225
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.85
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,10.934
E,空氣污染物申報-有害空氣污染物,苯,,,2017,1.765
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.7170000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,4.699
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.497
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.41900000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.7949999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,10.606
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.8210000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.333
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,6.063999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.9930000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.645
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.038
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,8.523
E,空氣污染物申報-有害空氣污染物,苯,,,2019,1.199
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.487
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,3.94
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.7879999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.7089999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.746
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,15.319
E,空氣污染物申報-有害空氣污染物,苯,,,2020,2.268
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.9219999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,6.913
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.2240000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.5
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.679
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,24.149
E,空氣污染物申報-有害空氣污染物,苯,,,2021,2.219
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.9019999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,10.962
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,1.377
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.598
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.818
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,22.136
E,空氣污染物申報-有害空氣污染物,苯,,,2022,2.261
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.9199999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,9.724
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.874
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,0.302
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,1.045
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,11.843
E,空氣污染物申報-有害空氣污染物,苯,,,2023,1.169
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.475
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,5.276
E,環境違規,違反環境法規金額-misc,,元,2010,200000
E,環境違規,違反環境法規次數-misc,,次,2010,4
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,24000
E,環境違規,違反環境法規次數-misc,,次,2011,4
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2013,1200
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,13200
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,224000
E,環境違規,違反環境法規次數-misc,,次,2015,6
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,82200
E,環境違規,違反環境法規次數-misc,,次,2016,3
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,130000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,110500
E,環境違規,違反環境法規次數-misc,,次,2018,3
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,10000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,106000
E,環境違規,違反環境法規次數-misc,,次,2020,2
E,環境違規,違反環境法規金額-空氣,,元,2020,450000
E,環境違規,違反環境法規次數-空氣,,次,2020,1
E,環境違規,違反環境法規金額-水,,元,2020,426000
E,環境違規,違反環境法規次數-水,,次,2020,2
E,環境違規,違反環境法規金額-misc,,元,2021,84000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,615
S,員工薪資,薪資中位數,,仟元,2020,542
S,員工薪資,平均薪資,,仟元,2019,604
S,員工薪資,薪資中位數,,仟元,2019,523
S,員工薪資,平均薪資,,仟元,2018,544
G,資本額,資本額,,元,2020,2480781570
G,資本額,資本額,,元,2019,2480781570
