分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,205658.42
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,33805.81
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,239464.23
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,194457.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,33362.37
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,227819.77
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,257167.46999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,32991.19
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,290158.66
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1826.1529138243295
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,201985.88
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,32906.25
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,234892.13
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1167.8182748255335
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,面對全球氣候變遷，國際中橡不斷加強氣候調適韌性，亦在減緩溫室氣體排放上持續努力。國際中橡每年實施溫室氣體盤查，並針對盤查結果擬定溫 室氣體管理政策，進而制定減量目標與減量措施。對此，我們訂定2030年林園先進廠溫室氣體排放強度較基準年2016年降低30%的長期減碳目標。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,375.735
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,466.807
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,11.943999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.5460000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,446.58799999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,452.279
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,14.48
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,5.052
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,500.038
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,625.53
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,13.749999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,5.475
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,306.59000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,120.53900000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,21.021
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,5.273
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,338.846
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,161.89100000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,21.328
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,4.938000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,391.712
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,165.19400000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,20.372
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,5.112
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,331.15
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,178.434
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,29.924
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.659
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,268.18800000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,147.815
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,14.579
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,4.779
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,208.534
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,107.33100000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,9.834
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.323
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,53.537
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,19.418
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.232
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.205
E,環境違規,違反環境法規金額-misc,,元,2010,100000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,112000
E,環境違規,違反環境法規次數-misc,,次,2011,3
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,300000
E,環境違規,違反環境法規次數-空氣,,次,2012,1
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,200000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,100000
E,環境違規,違反環境法規次數-空氣,,次,2013,1
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,238000
E,環境違規,違反環境法規次數-misc,,次,2014,5
E,環境違規,違反環境法規金額-空氣,,元,2014,300000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,424000
E,環境違規,違反環境法規次數-misc,,次,2015,5
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,134000
E,環境違規,違反環境法規次數-misc,,次,2016,6
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,640000
E,環境違規,違反環境法規次數-misc,,次,2017,12
E,環境違規,違反環境法規金額-空氣,,元,2017,400000
E,環境違規,違反環境法規次數-空氣,,次,2017,3
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,1100000
E,環境違規,違反環境法規次數-misc,,次,2018,3
E,環境違規,違反環境法規金額-空氣,,元,2018,300000
E,環境違規,違反環境法規次數-空氣,,次,2018,2
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,18000
E,環境違規,違反環境法規次數-misc,,次,2019,3
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,594
S,員工薪資,薪資中位數,,仟元,2020,492
S,員工薪資,平均薪資,,仟元,2019,604
S,員工薪資,薪資中位數,,仟元,2019,479
S,員工薪資,平均薪資,,仟元,2018,706
G,資本額,資本額,,元,2020,9847336250
G,資本額,資本額,,元,2019,9847336250
G,營運狀況,營業收入,,仟元,2020,17105502
G,營運狀況,營業成本,,仟元,2020,13565328
G,營運狀況,營業費用,,仟元,2020,2135714
G,營運狀況,淨利,,仟元,2020,676010
G,營運狀況,營業收入,,仟元,2019,22270936
G,營運狀況,營業成本,,仟元,2019,17942747
G,營運狀況,營業費用,,仟元,2019,2186794
G,營運狀況,淨利,,仟元,2019,1165528
G,營運狀況,營業收入,,仟元,2018,24431724
G,營運狀況,營業成本,,仟元,2018,17854852
G,營運狀況,營業費用,,仟元,2018,1946737
G,營運狀況,淨利,,仟元,2018,3252459
G,營運狀況,營業收入,,仟元,2017,20113757
G,營運狀況,營業成本,,仟元,2017,14544257
G,營運狀況,營業費用,,仟元,2017,1928662
G,營運狀況,淨利,,仟元,2017,2300386
G,營運狀況,營業收入,,仟元,2016,15889067
G,營運狀況,營業成本,,仟元,2016,11318871
G,營運狀況,營業費用,,仟元,2016,1635215
G,營運狀況,淨利,,仟元,2016,1413714
