年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,23749.63,66.35,18740.03,64.11,5009.6,76.33,
2021,42147.97,117.76,35728.46,122.23,6419.51,97.82,
2020,33646.04,94,28453.75,97.35,5192.29,79.12,
2019,35792.53,100,29229.69,100,6562.84,100,
2018,38971.03,108.88,32111.11,109.86,6859.92,104.53,
2017,35440.63,99.02,28358.07,97.02,7082.56,107.92,
2016,36457.9,101.86,29620.89,101.34,6837.01,104.18,
2015,37576.39,104.98,29481.3,100.86,8095.09,123.35,
2023,19735.33,55.14,15243.48,52.15,4491.85,68.44,T
2024,15721.03,43.92,11746.93,40.19,3974.1,60.55,T
2025,11706.73,32.71,8250.37,28.23,3456.36,52.67,T
2026,7692.43,21.49,4753.82,16.26,2938.61,44.78,T
2027,3678.13,10.28,1257.27,4.3,2420.86,36.89,T
2028,0,0,0,0,1903.11,29,T
2029,0,0,0,0,1385.37,21.11,T
2030,0,0,0,0,867.62,13.22,T
2031,0,0,0,0,349.87,5.33,T
2032,0,0,0,0,0,0,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
