年份,Tot數值,Tot變化,是推估值
2019,2526297.71,98.18,
2020,2500595.43,97.19,T
2021,2474893.14,96.19,T
2022,2449190.86,95.19,T
2023,2423488.57,94.19,T
2024,2397786.29,93.19,T
2025,2372084,92.19,
2026,2305987.2,89.62,T
2027,2239890.4,87.05,T
2028,2173793.6,84.48,T
2029,2107696.8,81.92,T
2030,2041600,79.35,
2031,1939520,75.38,T
2032,1837440,71.41,T
2033,1735360,67.45,T
2034,1633280,63.48,T
2035,1531200,59.51,T
2036,1429120,55.54,T
2037,1327040,51.58,T
2038,1224960,47.61,T
2039,1122880,43.64,T
2040,1020800,39.67,T
2041,918720,35.71,T
2042,816640,31.74,T
2043,714560,27.77,T
2044,612480,23.8,T
2045,510400,19.84,T
2046,408320,15.87,T
2047,306240,11.9,T
2048,204160,7.93,T
2049,102080,3.97,T
2050,0,0,
