年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,41636.57,82.57,33501.41,80.59,8135.16,91.89,
2020,47562.42,94.32,39629.6,95.33,7932.82,89.6,
2019,50424.77,100,41571.46,100,8853.31,100,
2018,58476.87,115.97,47593.39,114.49,10883.48,122.93,
2016,61039.32,121.05,7154.57,17.21,53884.75,608.64,
2022,36023.14,71.44,28804.08,69.29,7219.05,81.54,T
2023,30409.7,60.31,24106.76,57.99,6302.95,71.19,T
2024,24796.27,49.17,19409.43,46.69,5386.84,60.85,T
2025,19182.84,38.04,14712.1,35.39,4470.73,50.5,T
2026,13569.4,26.91,10014.78,24.09,3554.63,40.15,T
2027,7955.97,15.78,5317.45,12.79,2638.52,29.8,T
2028,2342.54,4.65,620.12,1.49,1722.41,19.46,T
2029,0,0,0,0,806.31,9.11,T
2030,0,0,0,0,0,0,T
2031,0,0,0,0,0,0,T
2032,0,0,0,0,0,0,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
