分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.778
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,8.099
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,7.479
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,5.322
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,7.572
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,8.966000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,14.100999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,16.77
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,21.864
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,26.337
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,19.143
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,8.486
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,220000
E,環境違規,違反環境法規次數-水,,次,2010,2
E,環境違規,違反環境法規金額-misc,,元,2019,150000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
G,資本額,資本額,,元,2020,798270820
G,資本額,資本額,,元,2019,798270820
G,營運狀況,營業收入,,仟元,2020,887305
G,營運狀況,營業成本,,仟元,2020,715686
G,營運狀況,營業費用,,仟元,2020,139444
G,營運狀況,淨利,,仟元,2020,40814
