分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.531
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,6.221
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,4.489999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,7.193
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,19.953000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,9.056
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.569999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,51.075
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,13.868
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,13.893
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.8790000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,55.245999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,17.434
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,10.503
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.142
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,61.29000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,12.491999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,9.078999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,6.811999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,60.00200000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,15.523
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,10.709999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,4.66
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,58.647999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,10.064
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,7.7780000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,3.95
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,46.99799999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,17.869
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,8.815000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,6.468999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,73.51599999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,9.280000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,6.224
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,3.521
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,70.433
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.01
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.011
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,5.006
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,9.141
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,13.258
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,8.064
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,5.987
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,189.28300000000004
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.015
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.012000000000000004
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.014000000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,9.287
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,22.628000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,6.911
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,7.469999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,4.838
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,98.559
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.007
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,4.051
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,15.860999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,3.09
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,1.3239999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.7160000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,129.51
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.012000000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,4.103999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,15.806999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.156
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.46799999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.278
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,47.273
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,1.348
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,4.364
E,環境違規,違反環境法規金額-misc,,元,2011,11000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,10000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,100000
E,環境違規,違反環境法規次數-空氣,,次,2013,1
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,300000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
G,資本額,資本額,,元,2020,7359000000
G,資本額,資本額,,元,2019,7359000000
G,營運狀況,營業收入,,仟元,2020,21457465
G,營運狀況,營業成本,,仟元,2020,19224114
G,營運狀況,營業費用,,仟元,2020,1542340
G,營運狀況,淨利,,仟元,2020,279724
G,營運狀況,營業收入,,仟元,2019,22622948
G,營運狀況,營業成本,,仟元,2019,20909927
G,營運狀況,營業費用,,仟元,2019,1642077
G,營運狀況,淨利,,仟元,2019,-461751
G,營運狀況,營業收入,,仟元,2018,25185660
G,營運狀況,營業成本,,仟元,2018,23068645
G,營運狀況,營業費用,,仟元,2018,1620827
G,營運狀況,淨利,,仟元,2018,-198542
G,營運狀況,營業收入,,仟元,2017,24899527
G,營運狀況,營業成本,,仟元,2017,22612573
G,營運狀況,營業費用,,仟元,2017,1681086
G,營運狀況,淨利,,仟元,2017,578023
G,營運狀況,營業收入,,仟元,2016,22195977
G,營運狀況,營業成本,,仟元,2016,20092576
G,營運狀況,營業費用,,仟元,2016,1777837
G,營運狀況,淨利,,仟元,2016,322707
