分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,899
S,員工薪資,薪資中位數,,仟元,2020,809
S,員工薪資,平均薪資,,仟元,2019,833
S,員工薪資,薪資中位數,,仟元,2019,768
S,員工薪資,平均薪資,,仟元,2018,815
G,資本額,資本額,,元,2020,3533101570
G,資本額,資本額,,元,2019,3533101570
G,營運狀況,營業收入,,仟元,2020,39665534
G,營運狀況,營業成本,,仟元,2020,33433811
G,營運狀況,營業費用,,仟元,2020,2971591
G,營運狀況,淨利,,仟元,2020,2074700
G,營運狀況,營業收入,,仟元,2019,36534445
G,營運狀況,營業成本,,仟元,2019,32220146
G,營運狀況,營業費用,,仟元,2019,3055003
G,營運狀況,淨利,,仟元,2019,973093
G,營運狀況,營業收入,,仟元,2018,29066591
G,營運狀況,營業成本,,仟元,2018,25619313
G,營運狀況,營業費用,,仟元,2018,2727939
G,營運狀況,淨利,,仟元,2018,729847
G,營運狀況,營業收入,,仟元,2017,27109342
G,營運狀況,營業成本,,仟元,2017,23778130
G,營運狀況,營業費用,,仟元,2017,2177437
G,營運狀況,淨利,,仟元,2017,939338
G,營運狀況,營業收入,,仟元,2016,26504463
G,營運狀況,營業成本,,仟元,2016,22809414
G,營運狀況,營業費用,,仟元,2016,2258561
G,營運狀況,淨利,,仟元,2016,940530
