分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,9.05
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,2092.49
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,29.38303648852063
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,2101.54
E,能源使用狀況,總用電量,true,度,2020,4112765
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,57503.31854911662
E,水資源,總取水量,true,噸,2020,5800
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,6.521
E,廢棄物管理,有害事業廢棄物,true,噸,2020,37.1839
E,廢棄物管理,資源化再利用,true,噸,2020,25.4049
S,員工組成,正式員工,true,人,2020,無揭露
S,員工組成,性別比,true,人,2020,0.8912280701754386
S,員工組成,新進率,true,人,2020,0.21335807050092764
S,員工組成,離職率,true,人,2020,0.28385899814471244
S,員工組成,是否聘用移工,true,人,2020,NA
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,3
S,員工薪資,平均薪資,,仟元,2020,869
S,員工薪資,薪資中位數,,仟元,2020,729
S,員工薪資,平均薪資,,仟元,2019,909
S,員工薪資,薪資中位數,,仟元,2019,742
S,員工薪資,平均薪資,,仟元,2018,881
S,職業健康,職災事故,true,,2020,2
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,1018243460
G,資本額,資本額,,元,2019,1018243460
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,營運狀況,營業收入,,仟元,2020,7152222
G,營運狀況,營業成本,,仟元,2020,6026320
G,營運狀況,營業費用,,仟元,2020,780483
G,營運狀況,淨利,,仟元,2020,290460
G,營運狀況,營業收入,,仟元,2019,7485821
G,營運狀況,營業成本,,仟元,2019,6085578
G,營運狀況,營業費用,,仟元,2019,916648
G,營運狀況,淨利,,仟元,2019,376629
G,營運狀況,營業收入,,仟元,2018,9441618
G,營運狀況,營業成本,,仟元,2018,8132329
G,營運狀況,營業費用,,仟元,2018,871406
G,營運狀況,淨利,,仟元,2018,358830
G,營運狀況,營業收入,,仟元,2017,10043476
G,營運狀況,營業成本,,仟元,2017,8744686
G,營運狀況,營業費用,,仟元,2017,823948
G,營運狀況,淨利,,仟元,2017,404957
G,營運狀況,營業收入,,仟元,2016,6822226
G,營運狀況,營業成本,,仟元,2016,5665926
G,營運狀況,營業費用,,仟元,2016,749997
G,營運狀況,淨利,,仟元,2016,349291
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,122801000
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,無
