分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,推動生產廠年度溫室氣體排放量年降目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.6
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.3
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.6
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,5.963000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,4.045
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,3.564
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,4.540000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,5.423
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,7.143000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,18.220000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,16.653
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.8600000000000003
S,員工薪資,平均薪資,,仟元,2020,588
S,員工薪資,薪資中位數,,仟元,2020,473
S,員工薪資,平均薪資,,仟元,2019,565
S,員工薪資,薪資中位數,,仟元,2019,703
G,資本額,資本額,,元,2020,602880890
G,資本額,資本額,,元,2019,602880890
G,營運狀況,營業收入,,仟元,2020,2538399
G,營運狀況,營業成本,,仟元,2020,1715278
G,營運狀況,營業費用,,仟元,2020,418131
G,營運狀況,淨利,,仟元,2020,359289
G,營運狀況,營業收入,,仟元,2019,2353988
G,營運狀況,營業成本,,仟元,2019,1579419
G,營運狀況,營業費用,,仟元,2019,455245
G,營運狀況,淨利,,仟元,2019,293678
G,營運狀況,營業收入,,仟元,2018,2549783
G,營運狀況,營業成本,,仟元,2018,1589446
G,營運狀況,營業費用,,仟元,2018,436539
G,營運狀況,淨利,,仟元,2018,412241
G,營運狀況,營業收入,,仟元,2017,2389410
G,營運狀況,營業成本,,仟元,2017,1432198
G,營運狀況,營業費用,,仟元,2017,371488
G,營運狀況,淨利,,仟元,2017,396144
G,營運狀況,營業收入,,仟元,2016,2137394
G,營運狀況,營業成本,,仟元,2016,1324655
G,營運狀況,營業費用,,仟元,2016,349040
G,營運狀況,淨利,,仟元,2016,341762
