分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.15
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.706
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.758
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.382
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.778
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.048
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.164
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.624
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.603
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.299
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.513
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.016
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.34199999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.01
E,環境違規,違反環境法規金額-misc,,元,2019,18000
E,環境違規,違反環境法規次數-misc,,次,2019,3
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,600000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,481
S,員工薪資,薪資中位數,,仟元,2020,425
S,員工薪資,平均薪資,,仟元,2019,492
S,員工薪資,薪資中位數,,仟元,2019,420
S,員工薪資,平均薪資,,仟元,2018,458
G,資本額,資本額,,元,2020,1083425100
G,資本額,資本額,,元,2019,1083425100
G,營運狀況,營業收入,,仟元,2020,1637280
G,營運狀況,營業成本,,仟元,2020,1168904
G,營運狀況,營業費用,,仟元,2020,479868
G,營運狀況,淨利,,仟元,2020,180
G,營運狀況,營業收入,,仟元,2019,1864663
G,營運狀況,營業成本,,仟元,2019,1362092
G,營運狀況,營業費用,,仟元,2019,501571
G,營運狀況,淨利,,仟元,2019,15779
G,營運狀況,營業收入,,仟元,2018,1972592
G,營運狀況,營業成本,,仟元,2018,1445695
G,營運狀況,營業費用,,仟元,2018,520226
G,營運狀況,淨利,,仟元,2018,13267
G,營運狀況,營業收入,,仟元,2017,1878973
G,營運狀況,營業成本,,仟元,2017,1376229
G,營運狀況,營業費用,,仟元,2017,502642
G,營運狀況,淨利,,仟元,2017,5067
