分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.056
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.27
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.8639999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,4.63
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.9819999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.795
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,13.216999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,5.493
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,8.741
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,7.182
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,12.072000000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,10.153
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,7.234
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,5.534
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,17.462999999999997
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,12.387
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,10.994
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,8.388
G,資本額,資本額,,元,2020,441000000
G,資本額,資本額,,元,2019,441000000
G,營運狀況,營業收入,,仟元,2020,1318129
G,營運狀況,營業成本,,仟元,2020,921039
G,營運狀況,營業費用,,仟元,2020,120814
G,營運狀況,淨利,,仟元,2020,212729
G,營運狀況,營業收入,,仟元,2019,1377170
G,營運狀況,營業成本,,仟元,2019,986253
G,營運狀況,營業費用,,仟元,2019,137030
G,營運狀況,淨利,,仟元,2019,190058
G,營運狀況,營業收入,,仟元,2018,1258269
G,營運狀況,營業成本,,仟元,2018,906945
G,營運狀況,營業費用,,仟元,2018,129974
G,營運狀況,淨利,,仟元,2018,161727
G,營運狀況,營業收入,,仟元,2017,1227689
G,營運狀況,營業成本,,仟元,2017,885387
G,營運狀況,營業費用,,仟元,2017,131965
G,營運狀況,淨利,,仟元,2017,167616
G,營運狀況,營業收入,,仟元,2016,1298218
G,營運狀況,營業成本,,仟元,2016,923052
G,營運狀況,營業費用,,仟元,2016,134768
G,營運狀況,淨利,,仟元,2016,174228
