年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,36406.05,197.8,18544.83,234.39,17861.22,170.21,
2020,30259.49,164.4,17839.01,225.46,12420.48,118.36,
2019,18405.85,100,7912.1,100,10493.75,100,
2018,17311.5,94.05,6700.32,84.68,10611.18,101.12,
2017,20021.53,108.78,9532.09,120.47,10489.44,99.96,
2016,17645.6,95.87,7366.81,93.11,10278.79,97.95,
2015,18338.61,99.63,8080.1,102.12,10258.51,97.76,
2014,14624.42,79.46,5955.92,75.28,8668.5,82.61,
2013,13071.68,71.02,5116.53,64.67,7955.15,75.81,
2022,42770.9,232.38,22493,284.29,20277.9,193.24,T
2023,49135.75,266.96,26441.17,334.19,22694.58,216.27,T
2024,55500.6,301.54,30389.34,384.09,25111.26,239.3,T
2025,61865.45,336.12,34337.51,433.99,27527.94,262.33,T
2026,68230.3,370.7,38285.68,483.89,29944.62,285.36,T
2027,74595.15,405.28,42233.85,533.79,32361.3,308.39,T
2028,80960,439.86,46182.02,583.69,34777.98,331.42,T
2029,87324.85,474.44,50130.19,633.59,37194.66,354.45,T
2030,93689.7,509.02,54078.36,683.49,39611.34,377.48,T
2031,100054.55,543.6,58026.53,733.39,42028.02,400.51,T
2032,106419.4,578.18,61974.7,783.29,44444.7,423.53,T
2033,112784.25,612.76,65922.87,833.19,46861.38,446.56,T
2034,119149.1,647.34,69871.04,883.09,49278.06,469.59,T
2035,125513.95,681.92,73819.21,932.99,51694.74,492.62,T
2036,131878.8,716.5,77767.38,982.89,54111.42,515.65,T
2037,138243.65,751.09,81715.55,1032.79,56528.1,538.68,T
2038,144608.5,785.67,85663.72,1082.69,58944.78,561.71,T
2039,150973.35,820.25,89611.89,1132.59,61361.46,584.74,T
2040,157338.2,854.83,93560.06,1182.49,63778.14,607.77,T
2041,163703.05,889.41,97508.23,1232.39,66194.82,630.8,T
2042,170067.9,923.99,101456.4,1282.29,68611.5,653.83,T
2043,176432.75,958.57,105404.57,1332.19,71028.18,676.86,T
2044,182797.6,993.15,109352.74,1382.1,73444.86,699.89,T
2045,189162.45,1027.73,113300.91,1432,75861.54,722.92,T
2046,195527.3,1062.31,117249.08,1481.9,78278.22,745.95,T
2047,201892.15,1096.89,121197.25,1531.8,80694.9,768.98,T
2048,208257,1131.47,125145.42,1581.7,83111.58,792.01,T
2049,214621.85,1166.05,129093.59,1631.6,85528.26,815.04,T
2050,220986.7,1200.63,133041.76,1681.5,87944.94,838.07,T
