分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,1663
S,員工薪資,薪資中位數,,仟元,2020,1296
S,員工薪資,平均薪資,,仟元,2019,1362
S,員工薪資,薪資中位數,,仟元,2019,1122
S,員工薪資,平均薪資,,仟元,2018,1604
G,資本額,資本額,,元,2020,30478538280
G,資本額,資本額,,元,2019,30478538280
G,營運狀況,營業收入,,仟元,2020,277112477
G,營運狀況,營業成本,,仟元,2020,246992862
G,營運狀況,營業費用,,仟元,2020,21412550
G,營運狀況,淨利,,仟元,2020,6145610
G,營運狀況,營業收入,,仟元,2019,234285354
G,營運狀況,營業成本,,仟元,2019,209568568
G,營運狀況,營業費用,,仟元,2019,21733522
G,營運狀況,淨利,,仟元,2019,2568374
G,營運狀況,營業收入,,仟元,2018,242270406
G,營運狀況,營業成本,,仟元,2018,216442207
G,營運狀況,營業費用,,仟元,2018,22256745
G,營運狀況,淨利,,仟元,2018,2901960
G,營運狀況,營業收入,,仟元,2017,237274883
G,營運狀況,營業成本,,仟元,2017,211913649
G,營運狀況,營業費用,,仟元,2017,21900478
G,營運狀況,淨利,,仟元,2017,2796733
G,營運狀況,營業收入,,仟元,2016,232724161
G,營運狀況,營業成本,,仟元,2016,209511703
G,營運狀況,營業費用,,仟元,2016,22299539
G,營運狀況,淨利,,仟元,2016,-4900740
