分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,75933.72000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,69652.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,145586.64
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,81211.09
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,73024.85
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,154235.94
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1750.595143105613
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,81579.26
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,80637.58
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,162216.84
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1833.5358452954795
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,85049.76000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,70527.41
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,155577.17
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,1654.1297272550103
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,75031.38
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,59785.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,134816.48
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,1521.008047834143
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,70708.68
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,53846.91
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,124555.59
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,1696.046788365328
E,環境違規,違反環境法規金額-misc,,元,2010,132000
E,環境違規,違反環境法規次數-misc,,次,2010,3
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,140000
E,環境違規,違反環境法規次數-水,,次,2010,1
E,環境違規,違反環境法規金額-misc,,元,2011,12000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,166000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,100000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,206000
E,環境違規,違反環境法規次數-misc,,次,2017,3
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,966000
E,環境違規,違反環境法規次數-misc,,次,2020,9
E,環境違規,違反環境法規金額-空氣,,元,2020,605000
E,環境違規,違反環境法規次數-空氣,,次,2020,6
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,491
S,員工薪資,薪資中位數,,仟元,2020,454
S,員工薪資,平均薪資,,仟元,2019,502
S,員工薪資,薪資中位數,,仟元,2019,452
S,員工薪資,平均薪資,,仟元,2018,520
G,營運狀況,營業收入,,仟元,2020,7343877
G,營運狀況,營業成本,,仟元,2020,6771871
G,營運狀況,營業費用,,仟元,2020,1424413
G,營運狀況,淨利,,仟元,2020,-936989
G,營運狀況,營業收入,,仟元,2019,8863627
G,營運狀況,營業成本,,仟元,2019,7477722
G,營運狀況,營業費用,,仟元,2019,1427431
G,營運狀況,淨利,,仟元,2019,-271956
G,營運狀況,營業收入,,仟元,2018,9405379
G,營運狀況,營業成本,,仟元,2018,7715556
G,營運狀況,營業費用,,仟元,2018,1452811
G,營運狀況,淨利,,仟元,2018,157357
G,營運狀況,營業收入,,仟元,2017,8847214
G,營運狀況,營業成本,,仟元,2017,7111138
G,營運狀況,營業費用,,仟元,2017,1381240
G,營運狀況,淨利,,仟元,2017,215146
G,營運狀況,營業收入,,仟元,2016,8810486
G,營運狀況,營業成本,,仟元,2016,6875735
G,營運狀況,營業費用,,仟元,2016,1342439
G,營運狀況,淨利,,仟元,2016,524427
