分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,31534.29
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,23022.36
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,54556.65
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,29950.57
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,22253.72
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,52204.29
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,29527.06
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,22722.45
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,52249.51
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1186.244116117247
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,23121.989999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,19580.58
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,42702.57
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,972.0585276043455
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,26412.069999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,21280.77
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,47692.84
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,955.5575012407082
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,20307.29
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,16237.51
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,36544.8
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,924.0805923048915
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,14195.09
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,12628.59
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,26823.68
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,767.9240724051334
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,,2020,NA
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,公司對於節能措施已執行多年，溫室氣體排放在統計上無法明顯減少之趨勢下，已著手進行變更燃料及設備節能來降低溫室氣體之貢獻，預計每年較前年度節省排放量1%。
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
