年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,172933.05,85.03,75818.71,79.13,97114.34,90.28,
2021,175464.61,86.27,74690.98,77.96,100773.63,93.68,
2020,157433.65,77.41,68000.26,70.97,89433.39,83.14,
2019,203386.34,100,95811.74,100,107574.6,100,
2018,216287.78,106.34,99248.29,103.59,117039.49,108.8,
2017,207776.97,102.16,92576.15,96.62,115200.82,107.09,
2016,208856.75,102.69,95769.26,99.96,113087.49,105.12,
2015,206386.69,101.48,92847.98,96.91,113538.71,105.54,
2014,196134.4,96.43,88114.22,91.97,108020.18,100.41,
2023,162781.95,80.04,69154.37,72.18,93627.59,87.04,T
2024,152630.86,75.04,62490.02,65.22,90140.84,83.79,T
2025,142479.76,70.05,55825.68,58.27,86654.08,80.55,T
2026,132328.67,65.06,49161.33,51.31,83167.33,77.31,T
2027,122177.57,60.07,42496.99,44.35,79680.58,74.07,T
2028,112026.47,55.08,35832.65,37.4,76193.83,70.83,T
2029,101875.38,50.09,29168.3,30.44,72707.07,67.59,T
2030,91724.28,45.1,22503.96,23.49,69220.32,64.35,T
2031,81573.18,40.11,15839.62,16.53,65733.57,61.11,T
2032,71422.09,35.12,9175.27,9.58,62246.81,57.86,T
2033,61270.99,30.13,2510.93,2.62,58760.06,54.62,T
2034,51119.9,25.13,0,0,55273.31,51.38,T
2035,40968.8,20.14,0,0,51786.56,48.14,T
2036,30817.7,15.15,0,0,48299.8,44.9,T
2037,20666.61,10.16,0,0,44813.05,41.66,T
2038,10515.51,5.17,0,0,41326.3,38.42,T
2039,364.41,0.18,0,0,37839.55,35.18,T
2040,0,0,0,0,34352.79,31.93,T
2041,0,0,0,0,30866.04,28.69,T
2042,0,0,0,0,27379.29,25.45,T
2043,0,0,0,0,23892.54,22.21,T
2044,0,0,0,0,20405.78,18.97,T
2045,0,0,0,0,16919.03,15.73,T
2046,0,0,0,0,13432.28,12.49,T
2047,0,0,0,0,9945.52,9.25,T
2048,0,0,0,0,6458.77,6,T
2049,0,0,0,0,2972.02,2.76,T
2050,0,0,0,0,0,0,T
