分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.3470000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.32
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.984
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.251
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,2.7279999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.243
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.5949999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.244
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.597
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.22199999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.7190000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.233
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.487
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.502
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.724
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.305
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.442
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.884
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.478
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,5.409000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.9380000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.973
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.124
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,5.564
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.366
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.041999999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.67
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.346
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.039
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,6.311999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.399
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.041
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,5.496
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.226
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.022
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.203
E,環境違規,違反環境法規金額-misc,,元,2010,160000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2017,100000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,100000
E,環境違規,違反環境法規次數-空氣,,次,2017,1
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,200000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2023,60000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
G,資本額,資本額,,元,2020,680000000
G,資本額,資本額,,元,2019,680000000
G,營運狀況,營業收入,,仟元,2020,1527677
G,營運狀況,營業成本,,仟元,2020,1242769
G,營運狀況,營業費用,,仟元,2020,127096
G,營運狀況,淨利,,仟元,2020,36579
G,營運狀況,營業收入,,仟元,2019,1516125
G,營運狀況,營業成本,,仟元,2019,1174997
G,營運狀況,營業費用,,仟元,2019,126511
G,營運狀況,淨利,,仟元,2019,138773
