年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,672647.69,104.36,629995.36,104.28,42652.33,105.44,
2019,644566.46,100,604114.16,100,40452.3,100,
2018,594532.56,92.24,551573.21,91.3,42959.35,106.2,
2017,650425.93,100.91,606611.22,100.41,43814.71,108.31,
2016,694174.19,107.7,647414.87,107.17,46759.32,115.59,
2015,715575.85,111.02,667690.18,110.52,47885.67,118.38,
2014,724204.91,112.36,675843.57,111.87,48361.34,119.55,
2013,759359.28,117.81,709555.1,117.45,49804.18,123.12,
2021,680054.94,105.51,637790.07,105.57,42264.87,104.48,T
2022,687462.2,106.65,645584.79,106.86,41877.41,103.52,T
2023,694869.45,107.8,653379.5,108.15,41489.95,102.57,T
2024,702276.7,108.95,661174.21,109.45,41102.49,101.61,T
2025,709683.96,110.1,668968.93,110.74,40715.03,100.65,T
2026,717091.21,111.25,676763.64,112.03,40327.57,99.69,T
2027,724498.46,112.4,684558.35,113.32,39940.11,98.73,T
2028,731905.72,113.55,692353.07,114.61,39552.65,97.78,T
2029,739312.97,114.7,700147.78,115.9,39165.19,96.82,T
2030,746720.22,115.85,707942.49,117.19,38777.73,95.86,T
2031,754127.48,117,715737.21,118.48,38390.27,94.9,T
2032,761534.73,118.15,723531.92,119.77,38002.81,93.94,T
2033,768941.98,119.3,731326.63,121.06,37615.35,92.99,T
2034,776349.24,120.45,739121.35,122.35,37227.89,92.03,T
2035,783756.49,121.59,746916.06,123.64,36840.43,91.07,T
2036,791163.74,122.74,754710.77,124.93,36452.97,90.11,T
2037,798571,123.89,762505.49,126.22,36065.51,89.16,T
2038,805978.25,125.04,770300.2,127.51,35678.05,88.2,T
2039,813385.5,126.19,778094.91,128.8,35290.59,87.24,T
2040,820792.76,127.34,785889.63,130.09,34903.13,86.28,T
2041,828200.01,128.49,793684.34,131.38,34515.67,85.32,T
2042,835607.26,129.64,801479.05,132.67,34128.21,84.37,T
2043,843014.52,130.79,809273.77,133.96,33740.75,83.41,T
2044,850421.77,131.94,817068.48,135.25,33353.29,82.45,T
2045,857829.02,133.09,824863.19,136.54,32965.83,81.49,T
2046,865236.28,134.24,832657.91,137.83,32578.37,80.54,T
2047,872643.53,135.38,840452.62,139.12,32190.91,79.58,T
2048,880050.78,136.53,848247.33,140.41,31803.45,78.62,T
2049,887458.04,137.68,856042.05,141.7,31415.99,77.66,T
2050,894865.29,138.83,863836.76,142.99,31028.53,76.7,T
