分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2004,74795.1
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2004,0
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2004,74795.1
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,101944.34000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,47130.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,149074.42
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,109726.68000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,46181.02
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,155907.7
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,67199.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,46535.25
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,113734.65
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,111541.02999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,52801.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,164342.11
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,121777.38
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,51307.43
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,173084.81
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,114113.90999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,46180.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,160294.05
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,110558.42000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,49628.12
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,160186.54
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,127703.81999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,48425.45
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,176129.27
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,116.389
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,39.44199999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,24.912
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,91.69099999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,55.45700000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,25.337
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,105.101
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,39.617000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,29.173
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,73
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,28.871
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,22.459000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,19.693
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,47.328
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,28.971
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,102.24000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,35.732
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,29.844999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,115.574
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,26.786
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,28.924000000000003
