分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,9033.345000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,19561.212
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,28594.557
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,12.786
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,9.227
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.077
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.1319999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,16.576
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,11.934000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.579
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,4.265
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,17.547000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,13.399000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.77
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,6.2459999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,16.319
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,13.998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.887
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,7.131
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,15.655000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,12.247
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.738
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,6.675000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,13.699
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,10.498000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.698
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,5.904
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,9.952
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,7.3309999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.174
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.935
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,12.011999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,8.51
