分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.265
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.38
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.619
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.894
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,7.9270000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.276
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.3999999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,4.173
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.21
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.305
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.3750000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.43400000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.6280000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.778
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.5730000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.8260000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,4.923
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.2859999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.8499999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,7.786
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.889
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.282
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,5.263999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.692
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.101
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,2.707
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.752
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.0819999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.028
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.7030000000000003
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,2.7060000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.95
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,1.311
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.129
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,5.405
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,4.2989999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.09
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.72
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,1.433
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.716
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.958
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.636
E,環境違規,違反環境法規金額-misc,,元,2019,60000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,581
S,員工薪資,薪資中位數,,仟元,2020,514
S,員工薪資,平均薪資,,仟元,2019,569
S,員工薪資,薪資中位數,,仟元,2019,491
S,員工薪資,平均薪資,,仟元,2018,516
G,資本額,資本額,,元,2020,300187500
G,資本額,資本額,,元,2019,300187500
