分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,111085.13
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,195430.86
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,109107.93000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,247515.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,88666.76000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,250991.35
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,88360.9
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,255821.61
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1438.574050725896
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,107059.93000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,274363.72
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1606.3690225004063
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,95022.69000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,264355.87
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,2130.7457082537467
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,109550.51000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,257135.43
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,2244.505769280444
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.5269999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.556
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,316.559
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,5.628
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.728
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.569
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,388.82200000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,2.044
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.23299999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,140.776
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,3.3640000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.747
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,252.28199999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.5370000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.46900000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.21
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,139.093
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,3.136
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.455
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.40800000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,216.473
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.798
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.097
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.381
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,119.578
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,3.176
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.799
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.873
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,341.996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.9800000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.2209999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.544
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,94.048
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,9.792
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,1.236
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.244
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,102.927
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,4.9959999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.628
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.125
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,50.528
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,5.001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.618
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.124
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,43.973
E,環境違規,違反環境法規金額,,元,2019,12000
E,環境違規,違反環境法規次數,,次,2019,1
E,環境違規,違反環境法規金額,,元,2020,100000
E,環境違規,違反環境法規次數,,次,2020,1
S,員工薪資,平均薪資,,仟元,2020,941
S,員工薪資,薪資中位數,,仟元,2020,804
S,員工薪資,平均薪資,,仟元,2019,732
S,員工薪資,薪資中位數,,仟元,2019,609
S,員工薪資,平均薪資,,仟元,2018,729
G,資本額,資本額,,元,2020,33011908510
G,資本額,資本額,,元,2019,33011908510
G,營運狀況,營業收入,,仟元,2020,19553306
G,營運狀況,營業成本,,仟元,2020,14713779
G,營運狀況,營業費用,,仟元,2020,2130575
G,營運狀況,淨利,,仟元,2020,3835096
G,營運狀況,營業收入,,仟元,2019,16337046
G,營運狀況,營業成本,,仟元,2019,14467715
G,營運狀況,營業費用,,仟元,2019,1735725
G,營運狀況,淨利,,仟元,2019,781079
G,營運狀況,營業收入,,仟元,2018,16866328
G,營運狀況,營業成本,,仟元,2018,14049752
G,營運狀況,營業費用,,仟元,2018,1903751
G,營運狀況,淨利,,仟元,2018,1021164
G,營運狀況,營業收入,,仟元,2017,23744460
G,營運狀況,營業成本,,仟元,2017,15097747
G,營運狀況,營業費用,,仟元,2017,2426981
G,營運狀況,淨利,,仟元,2017,6708703
G,營運狀況,營業收入,,仟元,2016,23925255
G,營運狀況,營業成本,,仟元,2016,16939732
G,營運狀況,營業費用,,仟元,2016,2330772
G,營運狀況,淨利,,仟元,2016,4047364
