分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,11.447000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,20.493
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.8789999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.245999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,11.577999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,19.374
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.7949999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,7.825999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,16.776000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,25.912999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.554
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,9.789000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,17.549
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,12.643
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,5.119
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,27.310000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,6.2
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,11.808
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,17.490000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,4.93
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.018
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,5.26
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,6.023
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.041
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,4.103
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,6.771
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.4130000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,26.618000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,6.099
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.259
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.16
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,31.221000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,3.1199999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.521
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.158
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,23.230999999999998
E,環境違規,違反環境法規金額-misc,,元,2013,30000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,460000
E,環境違規,違反環境法規次數-水,,次,2014,2
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,110000
E,環境違規,違反環境法規次數-水,,次,2015,1
S,員工薪資,平均薪資,,仟元,2020,494
S,員工薪資,薪資中位數,,仟元,2020,437
S,員工薪資,平均薪資,,仟元,2019,509
S,員工薪資,薪資中位數,,仟元,2019,448
S,員工薪資,平均薪資,,仟元,2018,582
G,資本額,資本額,,元,2020,1271270170
G,資本額,資本額,,元,2019,1271270170
