分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,7.2090000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,9.565999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,15.111
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,13.016
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,16.784000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,30.456999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,6.258
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,9.055
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,8.812000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,9.884
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,14.39
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,12.901
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,8.461
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,12.827000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,8.959999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,9.253
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,13.735
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,8.15
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,10.105
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,11.050999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,17.608000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,7.2459999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.604
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,13.183
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,3.088
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.159
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,10.946
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,7.076
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.20299999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,18.8
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,4.357
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.019
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,9.556999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,4.2490000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,9.371
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.633
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,2.864
E,環境違規,違反環境法規金額-misc,,元,2012,24000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,112000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,60000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2021,81000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,664
S,員工薪資,薪資中位數,,仟元,2020,623
S,員工薪資,平均薪資,,仟元,2019,707
S,員工薪資,薪資中位數,,仟元,2019,665
S,員工薪資,平均薪資,,仟元,2018,705
G,資本額,資本額,,元,2020,360543680
G,資本額,資本額,,元,2019,360543680
