分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司依循IMO減量目標要求，本公司溫室氣體排放主要來自範疇一及範疇三，參考《Fourth IMO GHG Study 2020》，擇定Annual Efficiency Ratio（AER）作為排放強度衡量標的，並設定以2008為基準年，至2030年減量55%，2040年減量80%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
G,營運狀況,營業收入,,仟元,2020,11939433
G,營運狀況,營業成本,,仟元,2020,10282194
G,營運狀況,營業費用,,仟元,2020,159220
G,營運狀況,淨利,,仟元,2020,111414
G,營運狀況,營業收入,,仟元,2019,13833457
G,營運狀況,營業成本,,仟元,2019,10263910
G,營運狀況,營業費用,,仟元,2019,161628
G,營運狀況,淨利,,仟元,2019,2198583
G,營運狀況,營業收入,,仟元,2018,13067626
G,營運狀況,營業成本,,仟元,2018,9431342
G,營運狀況,營業費用,,仟元,2018,161461
G,營運狀況,淨利,,仟元,2018,1809206
G,營運狀況,營業收入,,仟元,2017,11038548
G,營運狀況,營業成本,,仟元,2017,9002279
G,營運狀況,營業費用,,仟元,2017,160213
G,營運狀況,淨利,,仟元,2017,418327
G,營運狀況,營業收入,,仟元,2016,10678876
G,營運狀況,營業成本,,仟元,2016,8924355
G,營運狀況,營業費用,,仟元,2016,153344
G,營運狀況,淨利,,仟元,2016,1393186
