分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,138349.31
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,209974.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,348323.45
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,127031.86000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,183336.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,310368.01
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,116649.30000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,178454.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,295104.01
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,114244.20999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,177530.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,291774.92
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,146483.59999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,254922.06
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,401405.66
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,134720.82999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,231638.39
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,366359.22
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,136877.53999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,218369.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,355246.68
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,164360.92999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,245890.04
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,410250.97
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,142387.55
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,229822.05
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,372209.6
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,146328.42200000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,227126.592
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,373455.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,110.14399999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,145.99899999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,45.291
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,25.554000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,139.23299999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,134.94799999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,47.58899999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,27.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,93.93100000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,116.95100000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,49.673
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,28.252000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,42.038000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,50.858
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,20.121000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,19.936
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.224
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,37.239
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,22.083
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,22.989
