分類,子分類,項目,來自公司報告,單位,年份,數值
G,資本額,資本額,,元,2020,750856050
G,資本額,資本額,,元,2019,750856050
G,營運狀況,營業收入,,仟元,2020,2755516
G,營運狀況,營業成本,,仟元,2020,1998834
G,營運狀況,營業費用,,仟元,2020,696112
G,營運狀況,淨利,,仟元,2020,35300
G,營運狀況,營業收入,,仟元,2019,3140455
G,營運狀況,營業成本,,仟元,2019,2283364
G,營運狀況,營業費用,,仟元,2019,843581
G,營運狀況,淨利,,仟元,2019,-3065
G,營運狀況,營業收入,,仟元,2018,2314314
G,營運狀況,營業成本,,仟元,2018,1600515
G,營運狀況,營業費用,,仟元,2018,829402
G,營運狀況,淨利,,仟元,2018,9442
G,營運狀況,營業收入,,仟元,2017,2370935
G,營運狀況,營業成本,,仟元,2017,1582583
G,營運狀況,營業費用,,仟元,2017,702265
G,營運狀況,淨利,,仟元,2017,102217
G,營運狀況,營業收入,,仟元,2016,1968163
G,營運狀況,營業成本,,仟元,2016,1329090
G,營運狀況,營業費用,,仟元,2016,541407
G,營運狀況,淨利,,仟元,2016,78899
