分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,1691.84
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,2446.38
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,42.00253118278544
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,4138.22
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,1756.23
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,2552.5
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,4308.73
E,能源使用狀況,總用電量,true,度（KWh）,2021,5014741
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2021,10535.51
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,12626159
E,能源使用狀況,總用電量,true,度,2020,4806255
E,能源使用狀況,再生能源設置量,true,瓩,2020,9937
E,能源使用狀況,再生能源發電量,true,度,2020,11510000
E,能源使用狀況,能源密集度,true,度/億元,2020,48783.021567224176
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,噸,2020,20490
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,噸,2020,20490
E,水資源,排放水量,true,,2020,無揭露
E,水資源,總取水量,true,,2021,23330
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,噸,2020,100.02
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2021,206.46
E,廢棄物管理,有害事業廢棄物,true,,2021,0
E,廢棄物管理,資源化再利用,true,,2021,6.57
E,環境違規,違反環境法規金額-misc,,元,2013,10000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2020,146500
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工組成,正式員工,true,人,2020,237
S,員工組成,性別比,true,人,2020,3.1578947368421053
S,員工組成,新進率,true,人,2020,0.6455696202531646
S,員工組成,離職率,true,人,2020,0.3080168776371308
S,員工組成,是否聘用移工,true,人,2020,53
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工組成,正式員工,true,人,2021,269
S,員工組成,性別比,true,人,2021,2.9558823529411766
S,員工組成,是否聘用移工,true,人,2021,62
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,NA
S,員工薪資,平均薪資,,仟元,2020,716
S,員工薪資,薪資中位數,,仟元,2020,615
S,員工薪資,平均薪資,,仟元,2019,617
S,員工薪資,薪資中位數,,仟元,2019,550
S,員工薪資,平均薪資,,仟元,2018,703
S,職業健康,職災事故,true,,2020,6
S,職業健康,工安意外,true,,2020,無揭露
S,職業健康,職災事故,true,,2021,2
S,職業健康,工安意外,true,,2021,NA
G,資本額,資本額,,元,2020,3211463410
G,資本額,資本額,,元,2019,3211463410
