分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,584
S,員工薪資,薪資中位數,,仟元,2020,492
S,員工薪資,平均薪資,,仟元,2019,584
S,員工薪資,薪資中位數,,仟元,2019,452
S,員工薪資,平均薪資,,仟元,2018,583
G,資本額,資本額,,元,2020,1526486880
G,資本額,資本額,,元,2019,1526486880
G,營運狀況,營業收入,,仟元,2020,2475359
G,營運狀況,營業成本,,仟元,2020,1553532
G,營運狀況,營業費用,,仟元,2020,409714
G,營運狀況,淨利,,仟元,2020,444452
G,營運狀況,營業收入,,仟元,2019,2669131
G,營運狀況,營業成本,,仟元,2019,1658885
G,營運狀況,營業費用,,仟元,2019,466951
G,營運狀況,淨利,,仟元,2019,487940
G,營運狀況,營業收入,,仟元,2018,2820470
G,營運狀況,營業成本,,仟元,2018,1780188
G,營運狀況,營業費用,,仟元,2018,494787
G,營運狀況,淨利,,仟元,2018,500570
G,營運狀況,營業收入,,仟元,2017,2928087
G,營運狀況,營業成本,,仟元,2017,1823419
G,營運狀況,營業費用,,仟元,2017,502879
G,營運狀況,淨利,,仟元,2017,461580
G,營運狀況,營業收入,,仟元,2016,3150739
G,營運狀況,營業成本,,仟元,2016,1907073
G,營運狀況,營業費用,,仟元,2016,571812
G,營運狀況,淨利,,仟元,2016,568063
