分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2014,6000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,12000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2020,10000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,18000
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,586
S,員工薪資,薪資中位數,,仟元,2020,518
S,員工薪資,平均薪資,,仟元,2019,588
S,員工薪資,薪資中位數,,仟元,2019,506
S,員工薪資,平均薪資,,仟元,2018,561
G,營運狀況,營業收入,,仟元,2020,2149213
G,營運狀況,營業成本,,仟元,2020,1526091
G,營運狀況,營業費用,,仟元,2020,459573
G,營運狀況,淨利,,仟元,2020,364492
G,營運狀況,營業收入,,仟元,2019,2083581
G,營運狀況,營業成本,,仟元,2019,1488769
G,營運狀況,營業費用,,仟元,2019,481444
G,營運狀況,淨利,,仟元,2019,378820
G,營運狀況,營業收入,,仟元,2018,1605981
G,營運狀況,營業成本,,仟元,2018,1195968
G,營運狀況,營業費用,,仟元,2018,433781
G,營運狀況,淨利,,仟元,2018,278939
G,營運狀況,營業收入,,仟元,2017,1487951
G,營運狀況,營業成本,,仟元,2017,1202010
G,營運狀況,營業費用,,仟元,2017,411877
G,營運狀況,淨利,,仟元,2017,1232439
G,營運狀況,營業收入,,仟元,2016,1339575
G,營運狀況,營業成本,,仟元,2016,1034202
G,營運狀況,營業費用,,仟元,2016,343923
G,營運狀況,淨利,,仟元,2016,150610
