分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,131665.69
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,174350.87
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,130254.63999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,182860.02
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,131313.59
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,183885.92
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,915.3380933698578
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,125601.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,189746.4
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,863.084433917376
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,110322.20000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,173644.94
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,668.2534659599712
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,106518.94999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,162921.21
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,709.2575054398575
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,101029.88
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,155131.13
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,797.2899035316012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,165.38600000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,186.833
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,18.84399999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,26.532999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,264.34499999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,276.301
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,43.226
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,32.596
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,201.88200000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,212.09099999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,27.201999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,28.721999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,177.659
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,165.192
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,19.372999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,28.998000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,79.548
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,71.59700000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,8.604999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,12.067
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,140.34400000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,96.89399999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,11.666999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,13.716999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,209.185
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,76.661
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,15.163
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,22.491
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,31.853
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,17.177
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,3.5180000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,6.657
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,103.17899999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,22.678
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,12.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,26.311000000000003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.332
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,1.62
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.018
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,85.289
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,13.143
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,10.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,14.616
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.288
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,1.4860000000000002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.003
