年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,39616.92,74.7,20259.75,63.82,19357.17,90.93,
2020,46858.27,88.35,26633.35,83.89,20224.92,95.01,
2019,53034.24,100,31746.62,100,21287.62,100,
2018,74956.83,141.34,51993.73,163.78,22963.1,107.87,
2017,64433.37,121.49,41378.29,130.34,23055.08,108.3,
2016,58904.11,111.07,37338.48,117.61,21565.63,101.31,
2015,55675.66,104.98,36038.05,113.52,19637.61,92.25,
2014,56142.56,105.86,36378.82,114.59,19763.74,92.84,
2023,30781.94,58.04,12326.26,38.83,18455.68,86.7,T
2024,21946.96,41.38,4392.76,13.84,17554.2,82.46,T
2025,13111.98,24.72,0,0,16652.72,78.23,T
2026,4277.01,8.06,0,0,15751.23,73.99,T
2027,0,0,0,0,14849.75,69.76,T
2028,0,0,0,0,13948.27,65.52,T
2029,0,0,0,0,13046.79,61.29,T
2030,0,0,0,0,12145.3,57.05,T
2031,0,0,0,0,11243.82,52.82,T
2032,0,0,0,0,10342.34,48.58,T
2033,0,0,0,0,9440.85,44.35,T
2034,0,0,0,0,8539.37,40.11,T
2035,0,0,0,0,7637.89,35.88,T
2036,0,0,0,0,6736.4,31.64,T
2037,0,0,0,0,5834.92,27.41,T
2038,0,0,0,0,4933.44,23.18,T
2039,0,0,0,0,4031.95,18.94,T
2040,0,0,0,0,3130.47,14.71,T
2041,0,0,0,0,2228.99,10.47,T
2042,0,0,0,0,1327.5,6.24,T
2043,0,0,0,0,426.02,2,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
