分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,"本公司依溫室氣體排放係數換算二氧化碳約當排放量，109年二氧化碳排放量約16,805噸，但110年因火災事故影響無法生產，故二氧化碳排放量大幅減少，僅約1,667噸。"
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,9.588000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,10.51
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.853
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,41.384
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,12.693
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,12.928
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,5.3020000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,45.161
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,14.653
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,18.738
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.6980000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,35.829
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,14.556999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,17.32
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.7089999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,36.482
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,15.053
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,18.916
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.783
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,38.873999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,13.469999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,17.985
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.7409999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,37.573
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,13.428
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,21.348
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,2.154
