年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,392356.83,99.54,148507.98,94.78,243848.85,102.69,
2020,423041.14,107.33,174460.44,111.34,248580.7,104.68,
2019,394160.12,100,156694.45,100,237465.67,100,
2018,419026.1,106.31,172668.49,110.19,246357.61,103.74,
2017,432481.93,109.72,179330.25,114.45,253151.68,106.61,
2016,377078,95.67,143499.19,91.58,233578.81,98.36,
2015,401308.75,101.81,162584.33,103.76,238724.42,100.53,
2014,424096.9,107.6,180882.87,115.44,243214.03,102.42,
2013,444351.65,112.73,199135.15,127.09,245216.5,103.26,
2022,383467.07,97.29,140454.48,89.64,243012.6,102.34,T
2023,374577.32,95.03,132400.97,84.5,242176.34,101.98,T
2024,365687.56,92.78,124347.47,79.36,241340.09,101.63,T
2025,356797.8,90.52,116293.97,74.22,240503.84,101.28,T
2026,347908.05,88.27,108240.46,69.08,239667.58,100.93,T
2027,339018.29,86.01,100186.96,63.94,238831.33,100.58,T
2028,330128.53,83.75,92133.46,58.8,237995.08,100.22,T
2029,321238.78,81.5,84079.95,53.66,237158.82,99.87,T
2030,312349.02,79.24,76026.45,48.52,236322.57,99.52,T
2031,303459.26,76.99,67972.95,43.38,235486.32,99.17,T
2032,294569.51,74.73,59919.44,38.24,234650.06,98.81,T
2033,285679.75,72.48,51865.94,33.1,233813.81,98.46,T
2034,276789.99,70.22,43812.44,27.96,232977.56,98.11,T
2035,267900.24,67.97,35758.93,22.82,232141.3,97.76,T
2036,259010.48,65.71,27705.43,17.68,231305.05,97.41,T
2037,250120.72,63.46,19651.93,12.54,230468.8,97.05,T
2038,241230.97,61.2,11598.42,7.4,229632.54,96.7,T
2039,232341.21,58.95,3544.92,2.26,228796.29,96.35,T
2040,223451.45,56.69,0,0,227960.04,96,T
2041,214561.7,54.44,0,0,227123.78,95.64,T
2042,205671.94,52.18,0,0,226287.53,95.29,T
2043,196782.18,49.92,0,0,225451.28,94.94,T
2044,187892.43,47.67,0,0,224615.02,94.59,T
2045,179002.67,45.41,0,0,223778.77,94.24,T
2046,170112.91,43.16,0,0,222942.52,93.88,T
2047,161223.16,40.9,0,0,222106.26,93.53,T
2048,152333.4,38.65,0,0,221270.01,93.18,T
2049,143443.64,36.39,0,0,220433.76,92.83,T
2050,134553.89,34.14,0,0,219597.5,92.48,T
