年份,Tot數值,Tot變化,是承諾值
2020,423041.14,107.33,
2019,394160.12,100,
2018,419026.1,106.31,
2017,432481.93,109.72,
2016,377078,95.67,
2015,401308.75,101.81,
2014,424096.9,107.6,
2013,444351.65,112.73,
2014,474049.21410000004,1.2026818291510568,T
2015,469162.1088,1.1902830474072312,T
2016,464275.0035,1.177884265663406,T
2017,459387.8982,1.1654854839195807,T
2018,454500.7929,1.1530867021757554,T
2019,449613.68760000006,1.1406879204319302,T
2020,444726.58230000007,1.1282891386881049,T
2021,439839.477,1.1158903569442795,T
2022,434952.3717,1.1034915752004542,T
2023,430065.2664,1.0910927934566288,T
2024,425178.1611,1.0786940117128034,T
2025,420291.05580000003,1.066295229968978,T
2026,415403.95050000004,1.053896448225153,T
2027,410516.8452,1.0414976664813274,T
2028,405629.7399,1.029098884737502,T
2029,400742.6346,1.0167001029936769,T
2030,395855.5293,1.0043013212498515,T
2031,390968.42400000006,0.9919025395060262,T
2032,386081.31870000006,0.979503757762201,T
2033,381194.2134,0.9671049760183755,T
2034,376307.1081,0.9547061942745502,T
2035,371420.0028,0.9423074125307249,T
2036,366532.8975,0.9299086307868996,T
2037,361645.7922,0.9175098490430742,T
2038,356758.68690000003,0.905111067299249,T
2039,351871.58160000003,0.8927122855554236,T
2040,346984.4763,0.8803135038115981,T
2041,342097.371,0.8679147220677729,T
2042,337210.2657,0.8555159403239475,T
2043,332323.1604,0.8431171585801222,T
2044,327436.0551,0.8307183768362969,T
2045,322548.9498,0.8183195950924715,T
2046,317661.8445,0.8059208133486463,T
2047,312774.7392,0.7935220316048209,T
2048,307887.6339,0.7811232498609956,T
2049,303000.5286,0.7687244681171703,T
2050,298113.4233,0.756325686373345,T
